,BV号,情感指数
146,BV1MX4y1579J.csv,0.4548
147,BV1NN411971z.csv,0.4454
148,BV1nT4y1K7pM.csv,0.5709
149,BV1nz4y1276W.csv,0.5962
150,BV1oz4y1U7AH.csv,0.4565
151,BV1pf4y1y7hY.csv,0.5841
152,BV1pi4y1c77Z.csv,0.5064
153,BV1pU4y1x74e.csv,0.5588
154,BV1PX4y1N7LP.csv,0.5788
155,BV1py4y1v7xf.csv,0.4323
156,BV1Qf4y1k7df.csv,0.5963
157,BV1Qp4y1n7Ts.csv,0.6497
158,BV1qU4y1W71V.csv,0.4987
159,BV1qy4y1h7nt.csv,0.6952
160,BV1Qz4y1S7XP.csv,0.6832
161,BV1rh411y7M1.csv,0.5771
162,BV1rU4y1x7Bk.csv,0.6193
163,BV1sN411o7ad.csv,0.6249
164,BV1sV411t762.csv,0.7203
165,BV1t5411J7UZ.csv,0.5537
166,BV1tA411H7ou.csv,0.8321
167,BV1tr4y1P78Z.csv,0.5856
168,BV1U54y1W7We.csv,0.564
169,BV1uv41147w7.csv,0.6176
170,BV1v5411J7N2.csv,0.4714
171,BV1Vi4y1c7Qe.csv,0.6528
172,BV1vo4y1R791.csv,0.6385
173,BV1VX4y1N7Ga.csv,0.5588
174,BV1wr4y1K7Uw.csv,0.5263
175,BV1wr4y1T7U7.csv,0.7592
176,BV1wv41147EB.csv,0.5819
177,BV1wy4y1H7qn.csv,0.472
178,BV1xr4y1T7JJ.csv,0.5205
179,BV1xv411e7jW.csv,0.5549
180,BV1yh411y7jj.csv,0.527
181,BV1Yo4y1o7oz.csv,0.6907
182,BV1yv4y1o7kj.csv,0.5347
183,BV1Z5411n7Gc.csv,0.7853
184,BV1Zr4y1K7ZN.csv,0.5389
185,BV11V411e7Ga.csv,0.6532
186,BV12K4y1n7qb.csv,0.5355
187,BV13o4y1o72x.csv,0.5466
188,BV13V411b749.csv,0.5098
189,BV14T4y1K7K2.csv,0.5679
190,BV1654y1h7B2.csv,0.6383
191,BV16p4y1H7sH.csv,0.5701
192,BV16v411x77F.csv,0.4978
193,BV16v4y1f7Ao.csv,0.5878
194,BV16y4y1Y7EZ.csv,0.6295
195,BV16z4y167Fk.csv,0.5353
196,BV17v4y1Z769.csv,0.6137
197,BV17v4y1Z7qs.csv,0.6145
198,BV18v411x7FP.csv,0.5321
199,BV1ap4y1s7LP.csv,0.6157
200,BV1Av411e7aQ.csv,0.605
201,BV1B54y1s7eF.csv,0.5765
202,BV1by4y1e7qc.csv,0.5314
203,BV1cA411M7uT.csv,0.4376
204,BV1cK4y1s7hK.csv,0.6022
205,BV1CT4y1T7VH.csv,0.4075
206,BV1Cz4y167Ks.csv,0.6245
207,BV1Df4y167qF.csv,0.5401
208,BV1df4y1r7pP.csv,0.4334
209,BV1do4y1o75B.csv,0.6001
210,BV1Ef4y1k7bq.csv,0.6656
211,BV1Eh411y7od.csv,0.5753
212,BV1eh411y7PK.csv,0.4904
213,BV1Fv411v7Re.csv,0.5581
214,BV1Fz4y167By.csv,0.5405
215,BV1Gf4y1C7i7.csv,0.6396
216,BV1Gz4y1U7tw.csv,0.5151
217,BV1Hf4y1k75a.csv,0.4858
218,BV1hr4y1K7N6.csv,0.5788
219,BV1hV411i7i1.csv,0.4466
220,BV1Hv411x7XH.csv,0.4228
221,BV1ia4y1n7tF.csv,0.6092
222,BV1jK4y1W739.csv,0.6072
223,BV1Jo4y1o7xQ.csv,0.5296
224,BV1jT4y1N7Wg.csv,0.5231
225,BV1jT4y1P7j7.csv,0.4712
226,BV1jy4y1v7Pz.csv,0.573
227,BV1Jz4y1U7WU.csv,0.6217
228,BV1k54y1W7DF.csv,0.5449
229,BV1KA411g73G.csv,0.571
230,BV1kK4y1H7Ra.csv,0.5071
231,BV1KU4y1473R.csv,0.5728
232,BV1KX4y1K72A.csv,0.6864
233,BV1ky4y127xx.csv,0.5195
234,BV1Ly4y1Y7Fo.csv,0.5196
235,BV1MA411p7NB.csv,0.6208
236,BV1mA411T7i7.csv,0.6661
237,BV1Ma4y1H7JE.csv,0.5236
238,BV1mb4y197nf.csv,0.557
239,BV1mt4y1z7B9.csv,0.3509
240,BV1mt4y1z7WN.csv,0.6206
241,BV1mX4y1T7XF.csv,0.5487
242,BV1nf4y1y7fw.csv,0.513
243,BV1ni4y1F7T4.csv,0.7157
244,BV1NK4y1H7ir.csv,0.4998
245,BV1nN411R77W.csv,0.5796
246,BV1ny4y1175H.csv,0.4919
247,BV1o54y1Y7t1.csv,0.4775
248,BV1oK411g7Tt.csv,0.6629
249,BV1Pa4y1n7Mq.csv,0.5991
250,BV1pN411d7ir.csv,0.5602
251,BV1qU4y1W7Wk.csv,0.5496
252,BV1R5411J7VN.csv,0.4811
253,BV1ro4y19714.csv,0.5464
254,BV1ro4y1o7v4.csv,0.5234
255,BV1Rt4y1r7MQ.csv,0.5797
256,BV1RX4y157Ff.csv,0.4885
257,BV1st4y167nW.csv,0.5295
258,BV1sU4y1x7wQ.csv,0.5845
259,BV1sy4y1m7Vm.csv,0.5094
260,BV1Sz4y127oL.csv,0.6922
261,BV1Tf4y16791.csv,0.4605
262,BV1Th411k7ZV.csv,0.5016
263,BV1ti4y1c7nu.csv,0.5276
264,BV1To4y1o7LT.csv,0.5196
265,BV1tX4y157MR.csv,0.615
266,BV1uo4y1o7gq.csv,0.5928
267,BV1v5411n7zM.csv,0.5614
268,BV1vr4y1K7KK.csv,0.6031
269,BV1Wi4y1c743.csv,0.5485
270,BV1WK411M7Xq.csv,0.6003
271,BV1xo4y1o71g.csv,0.4732
272,BV1xp4y1s7x6.csv,0.4802
273,BV1xr4y1N7Lv.csv,0.588
274,BV1y5411n7ms.csv,0.5306
275,BV1Y54y1p725.csv,0.507
276,BV1YK411M7fx.csv,0.5289
277,BV1yt4y1B7X2.csv,0.5748
278,BV1YV411v7hU.csv,0.6043
279,BV1Yz4y167Dw.csv,0.5945
280,BV1Zh411k7LL.csv,0.5669
281,BV1Zi4y1K7Ty.csv,0.5789
282,BV1Zt4y1B7fT.csv,0.5633
283,BV1zz4y1S7bM.csv,0.5512
284,BV13y4y117rR.csv,0.4896
285,BV145411N7uK.csv,0.5451
286,BV14A411M7Bx.csv,0.7234
287,BV14i4y1c7Ji.csv,0.4458
288,BV14i4y1c7tt.csv,0.4178
289,BV15T4y1N7mq.csv,0.6669
290,BV16p4y1s7F9.csv,0.545
291,BV17T4y1K7gt.csv,0.5814
292,BV17y4y127F2.csv,0.562
293,BV18K4y1p7mu.csv,0.2252
294,BV19f4y1z7Lf.csv,0.5227
295,BV19U4y1W7Uk.csv,0.5264
296,BV1a5411n7c3.csv,0.5424
297,BV1AN411o7ai.csv,0.7129
298,BV1bt4y1B7YN.csv,0.5919
299,BV1BT4y1P7GD.csv,0.5993
300,BV1BU4y14742.csv,0.2872
301,BV1BX4y1G7a1.csv,0.6246
302,BV1Bz4y1S77E.csv,0.4541
303,BV1c54y1e72H.csv,0.5859
304,BV1Cf4y1k74f.csv,0.3147
305,BV1ch411173S.csv,0.3643
306,BV1Co4y1o7e7.csv,0.4882
307,BV1Cy4y117yZ.csv,0.4395
308,BV1dr4y1K7wW.csv,0.4478
309,BV1Dy4y1J7DD.csv,0.4864
310,BV1ET4y1N7My.csv,0.4603
311,BV1f54y1x7un.csv,0.6035
312,BV1fA411u74L.csv,0.5946
313,BV1fK4y1E7uZ.csv,0.4827
314,BV1FK4y1Q7Ei.csv,0.3045
315,BV1FK4y1s75N.csv,0.5175
316,BV1Fr4y1T745.csv,0.4403
317,BV1fX4y1G7UH.csv,0.4788
318,BV1gv411Y7HW.csv,0.639
319,BV1Gy4y1v7xy.csv,0.4904
320,BV1Hh411y7Q9.csv,0.467
321,BV1hy4y1n7tU.csv,0.2967
322,BV1if4y167CZ.csv,0.4081
323,BV1ip4y1W7Sa.csv,0.6003
324,BV1iz4y167aa.csv,0.4044
325,BV1J5411J75N.csv,0.5281
326,BV1Jy4y1m7f7.csv,0.5489
327,BV1jy4y1Y7QV.csv,0.471
328,BV1Jz4y167be.csv,0.4897
329,BV1kf4y1r7HX.csv,0.4817
330,BV1kK4y1W7Xn.csv,0.5893
331,BV1ko4y1R7NQ.csv,0.5905
332,BV1kT4y1N7J9.csv,0.2929
333,BV1Ky4y1H73U.csv,0.6341
334,BV1m5411E7Wj.csv,0.6999
335,BV1mK4y1Q7cL.csv,0.3274
336,BV1mT4y1N7w3.csv,0.5918
337,BV1MU4y1W7GT.csv,0.5978
338,BV1my4y1E7Ww.csv,0.516
339,BV1N5411J771.csv,0.5027
340,BV1nf4y1k7GM.csv,0.5691
341,BV1Ny4y1e7iR.csv,0.5297
342,BV1ov411x7zF.csv,0.5441
343,BV1Pb4y1R7ak.csv,0.4927
344,BV1pK4y1H7JZ.csv,0.4658
345,BV1pX4y1K7gM.csv,0.5748
346,BV1Py4y1m7Qn.csv,0.5362
347,BV1QA411H7ss.csv,0.4678
348,BV1qV411i7MN.csv,0.6001
349,BV1rK4y1H7Xk.csv,0.4331
350,BV1ro4y1o7oS.csv,0.5211
351,BV1rt4y1z7dT.csv,0.5559
352,BV1rX4y1N7Y4.csv,0.7676
353,BV1ry4y1m7Y2.csv,0.3479
354,BV1Ry4y1Y7S2.csv,0.5007
355,BV1s54y1x7Je.csv,0.5431
356,BV1sA411W7gY.csv,0.3636
357,BV1So4y1d7Ls.csv,0.5538
358,BV1Sp4y1n76j.csv,0.495
359,BV1St4y1B75X.csv,0.5975
360,BV1Sy4y117yV.csv,0.4471
361,BV1sy4y1m7rn.csv,0.4476
362,BV1tA411u7xu.csv,0.4144
363,BV1tv411s7f9.csv,0.3908
364,BV1ty4y1n7LC.csv,0.4344
