,词语,次数
17,哈哈,19631
328,真实,1249
371,老师,1125
733,这个,1047
455,就是,913
2637,明白,835
398,不是,818
96,什么,805
280,啊啊啊,736
9,大学,688
770,一个,684
76,真的,649
293,英语,619
125,谢谢,616
330,可以,586
30,自己,563
587,没有,563
521,怎么,540
734,我们,529
11620,中枪,495
134,！！！,480
759,已经,465
485,学习,444
203,！！,412
346,家伙,399
594,喜欢,396
345,好家伙,394
922,这么,391
453,直接,379
699,知道,349
927,视频,334
91,现在,331
885,这样,329
1131,不会,329
747,up,323
16,一样,318
929,为什么,309
689,觉得,305
1247,开始,301
1312,定理,301
148,数学,297
61,呜呜,293
743,感觉,286
789,出来,285
84,中国,280
339,时候,272
1805,卧槽,270
481,确实,262
57,第一,257
684,还是,256
796,因为,253
746,？？？,252
4460,余弦,247
991,还有,243
1129,。。。,242
3211,复读,241
379,一定,240
939,可爱,236
3254,狂喜,234
239,姐姐,232
690,初中,227
1545,作业,223
6610,复读机,221
544,收藏,220
1443,那个,217
2031,简单,214
352,前面,211
843,有点,211
935,好像,210
822,厉害,206
4461,余弦定理,204
917,好好,201
1445,手机,201
2145,开学,201
943,口音,200
287,高考,199
2078,寒假,197
434,高中,196
1116,这种,196
1113,但是,193
1223,学校,191
153,国人,190
2684,语文,190
507,看到,188
930,单词,188
1019,为了,184
237,对对,181
1036,意思,180
738,弹幕,176
461,学生,173
782,应该,173
728,doge,171
2652,111,170
5175,不及,168
349,一天,167
506,起来,167
231,可能,162
740,问题,162
2224,下次,160
55,考试,159
800,发音,158
3041,感谢,158
1865,最后,156
709,？？,155
1075,所以,155
1844,好听,154
196,老婆,152
887,不错,152
95,好看,151
19073,1234,151
953,标题,149
1272,以为,149
888,一下,148
3624,温柔,148
811,人家,147
751,中文,145
1123,这里,145
839,。。,144
1147,不要,144
1758,时间,144
222,考研,140
720,需要,140
1371,害怕,138
1894,小时,138
5174,猝不及防,138
1038,不知,137
1983,一直,136
2546,然后,136
31,加油,135
459,小学,135
522,怎么办,134
1413,声音,134
2813,凡尔,133
2656,11111,132
2814,凡尔赛,132
23,其实,131
81,清华,131
116,666,130
540,高一,129
1740,辛苦,129
520,不好,128
792,听懂,128
172,！！！！,127
515,表示,125
1104,年级,125
1303,紧张,125
2562,游戏,125
921,你们,124
1170,朋友,124
1369,12,124
7680,吸吸,124
2248,不一,123
2825,做人,123
1284,分钟,120
412,考上,119
665,化学,119
1095,不能,118
1452,除以,118
2192,明天,117
1261,听不懂,116
664,历史,114
1691,东西,114
658,别人,113
2177,方法,113
788,不出,112
1340,漂亮,111
2646,1111,111
1529,一点,110
1673,优秀,110
317,物理,109
2639,生物,109
912,不用,108
920,不行,107
1201,？？？？,107
2364,翻译,107
1086,发现,106
1404,公式,106
2441,毕业,106
3105,重新,106
959,原来,105
899,理解,103
2569,初三,103
7111,代代,103
1033,个人,102
163,啊哈,101
478,语言,101
1085,突然,100
2093,结束,100
10914,咕噜,100
501,孩子,98
869,专业,98
875,很多,98
6791,草草,98
721,只是,97
2588,生活,95
1138,学到,94
1328,进来,94
2241,这些,94
3847,选择,94
2126,不到,92
9167,123,91
807,根本,90
2169,反应,89
2200,如果,89
2927,目标,89
2899,妈妈,88
8814,夸克,88
1157,普通,87
3106,重新做人,87
1264,对了,86
700,美国,85
1880,要是,85
4467,证明,85
1886,题目,84
3925,日语,84
4545,nb,84
4705,答案,84
0,知识,83
2082,听力,83
4188,梦幻,83
5755,联动,83
6315,永远,83
982,推荐,82
1084,有人,82
1151,是不是,82
131,那么,81
1212,等于,81
2048,阿巴,81
2351,的话,80
7623,like,80
119,努力,79
141,！！！！！,79
