,词语,次数
0,哈哈,21530
454,致敬,6136
68,自己,1573
492,老师,1212
319,什么,1049
57,不是,961
9,这个,938
1,就是,873
272,朋友,791
111,保护,786
214,一个,760
2255,啊啊啊,757
743,加油,731
420,家伙,681
69,没有,672
211,真的,667
419,好家伙,665
1365,怎么,611
338,可以,602
526,卧槽,591
104,中国,545
89,？？？,544
55,我们,521
1501,竟是,503
67,因为,445
165,一定,441
278,！！！,438
2011,没事,431
199,漂亮,412
356,这么,405
15,姐姐,396
629,知道,385
367,看看,375
326,！！,368
687,还是,366
1322,不会,363
542,现在,358
9861,冰冰,355
418,为什么,353
633,谢谢,349
841,直接,349
4,这样,342
52,下次,329
1456,这种,327
720,不要,317
3137,老婆,308
2633,up,296
135,喜欢,295
917,？？？？,294
1767,孩子,290
1550,觉得,281
3910,平安,278
635,你们,266
7,时候,261
3626,值钱,260
530,？？,258
1411,小丑,258
54,他们,257
130,不能,254
125,厉害,253
2350,呜呜,251
789,问题,250
1165,应该,249
1312,辛苦,243
343,。。。,239
607,已经,238
191,国人,237
161,国家,233
330,好看,233
724,土地,233
910,那个,228
555,一下,227
202,确实,224
1703,美国,223
39,还有,215
5023,深沉,215
124,一样,213
829,感觉,213
652,视频,209
71,所以,208
66,正道,204
31,出来,200
1116,快乐,200
1451,个人,197
63,韩国,195
4043,呵呵,192
1973,？？？？？,191
590,可能,189
554,起来,188
108,东西,186
5462,害怕,185
318,真实,182
185,doge,178
394,有点,176
788,好像,166
3320,回来,166
2589,可怕,164
427,看到,158
1802,如果,158
1763,学习,155
277,支持,154
96,但是,151
628,不知,150
1683,那么,150
699,专业,148
2025,大学,145
215,两个,143
139,nb,142
206,投币,142
295,这些,142
1044,为了,142
1274,好好,142
2580,楷模,142
835,开始,141
1523,新年,139
469,内行,138
579,恶心,137
138,。。,135
3460,适合,135
307,世界,134
920,大家,134
2579,吾辈,132
2396,国士,131
468,直呼,130
387,！！！！,129
1459,弹幕,127
154,是不是,125
395,意思,125
1018,不好,125
682,有人,124
1119,以为,124
1113,别人,123
10674,鸭子,123
486,表示,122
1599,需要,122
733,人家,121
2335,只是,121
761,兄弟,120
2384,英雄,120
4133,海豚,120
190,666,119
2398,无双,119
2414,离谱,119
1313,不如,116
1540,永远,116
1619,举报,116
141,不了,115
906,很多,114
1524,新年快乐,114
2912,温柔,114
83,不过,112
3459,一款,112
2397,国士无双,111
127,肯定,108
1221,不错,108
3565,一次,108
5261,进来,108
444,至于,106
674,希望,106
1634,然后,106
2381,关注,106
61,真是,105
1591,学生,105
2823,？？？？？？,105
955,以后,104
392,多少,103
357,道理,102
2181,父亲,102
1370,不到,101
1825,原来,101
7292,活该,101
443,不至于,99
1422,怎么办,99
3568,中生,99
625,第一,98
536,人民,96
2015,不行,96
456,建议,94
2086,要是,94
537,可爱,93
1063,必须,92
1899,不可,92
2169,其实,92
193,脑子,90
320,关系,90
533,狂喜,90
2835,手机,90
1082,只有,89
123,不一,88
251,狗头,88
3277,女朋友,88
970,？？？？？？？,87
982,不信,87
1841,人类,87
9620,清华,87
1673,一点,86
3919,不共戴天,86
136,对对,85
286,大师,85
433,感谢,85
285,老公,84
1430,情商,84
3493,当时,84
976,一直,83
1531,恐怖,83
2625,女性,83
2759,结婚,83
145,玩意,82
1281,居然,82
1432,的话,82
2614,女人,82
3285,开心,82
1086,以前,81
1664,不用,81
3462,父母,80
3698,标题,80
5053,官方,80
1741,同学,79
500,不愧,78
1463,领导,78
2024,前面,78
74,山东,77
2788,女生,77
2814,社会,77
5820,印度,77
18952,飞旋,77
2825,设计,76
3203,有钱,76
221,只能,74
405,不得,74
605,100,74
1908,愿意,74
2225,学校,74
3094,草草,74
14594,纸箱,74
18951,铁翼飞,74
133,啊哈,73
184,没了,73
416,伟大,73
5729,声音,73
192,几个,72
1606,艺术,72
1636,发现,72
2386,那些,72
544,明白,71
706,真正,70
1678,男人,70
2681,妈妈,70
3728,50,70
969,来看,69
4592,1111,69
5005,同志,69
65,文化,68
2601,小姐,68
2682,精神,68
3030,一天,68
3885,看过,68
18,真好,67
194,正常,67
627,根本,67
1297,不想,67
1519,箱子,67
1927,教育,67
2602,小姐姐,67
156,历史,66
648,不在,66
764,一起,66
1174,房子,66
1375,人才,66
2534,知识,66
2648,女孩,66
2799,到底,66
28,泡菜,65
613,干嘛,65
1386,不对,65
2109,拒绝,65
2407,不敢,65
2845,是因为,65
225,我家,64
282,一般,64
619,突然,64
688,感动,64
912,bgm,64
1890,小时,64
2447,明星,64
4381,高兴,64
38,杀人,63
370,！！！！！,63
426,竟然,63
547,日本,63
610,200,63
3166,woc,63
3923,待遇,63
6365,男生,63
20284,减肥,63
689,记得,62
1602,上去,62
2203,买不起,62
2296,最后,62
919,欢迎,61
2308,时间,61
2677,想到,61
79,可怜,60
1163,这里,60
1351,对不起,60
1733,头发,60
3036,封面,60
3316,不算,60
4713,辈子,60
12364,买房,60
24,吃饭,59
120,家庭,59
369,NB,59
592,生活,59
950,。。。。,59
977,搞笑,59
3186,注意,59
4060,传谣,59
6354,红包,59
8997,大爷,59
238,难道,58
667,唯一,58
1362,祖国,58
1783,工作,58
2236,骨灰,58
2273,科学,58
3067,一堆,58
3488,你好,58
20,过年,57
545,哪里,57
566,各位,57
1081,这次,57
2127,10,57
3059,三个,57
3356,学家,57
4949,家人,57
5132,垃圾,57
5873,淑女,57
13373,祝福,57
437,震惊,56
1705,警察,56
2297,完全,56
2460,tm,56
2464,忠烈,56
3394,行为,56
4567,11111,56
144,地方,55
197,普通,55
213,家里,55
260,理解,55
941,连了,55
1207,可惜,55
1352,之前,55
2009,犯罪,55
2559,在乎,55
2996,爱情,55
3402,不够,55
4531,失败,55
378,实话,54
1267,说话,54
1894,公司,54
2328,本来,54
2463,满门,54
2621,UP,54
2943,？？？？？？？？,54
4009,逻辑,54
4612,过来,54
7538,房价,54
20935,昆明,54
470,天天,53
736,不配,53
1889,部分,53
2254,好多,53
2571,人格,53
4501,111111,53
574,便宜,52
1100,块钱,52
1169,吼吼,52
1624,该是,52
2145,容易,52
2245,相信,52
4094,yyds,52
6067,工资,52
14605,搬家,52
94,伤害,51
845,嘿嘿,51
2929,有些,51
9008,密码,51
11230,圣母,51
630,记者,50
962,重要,50
1626,不多,50
1920,思想,50
2290,为啥,50
2405,绝对,50
4496,三观,50
11215,难民,50
1159,可是,49
1534,人生,49
1576,还好,49
1754,评论,49
1848,定要,49
2558,不在乎,49
944,TM,48
1071,BGM,48
1205,了解,48
2357,其他,48
2442,先生,48
2762,奇怪,48
2932,工具,48
3781,算了,48
4554,111,48
16714,喜剧,48
36,侮辱,47
126,虽然,47
345,主要,47
2185,子弹,47
3429,一万,47
3899,云南,47
6357,流氓,47
6789,20,47
686,而已,46
1315,儿子,46
1922,青年,46
2016,好评,46
2727,真不,46
3122,法律,46
3212,所有,46
4183,没人,46
5025,没看,46
5982,傻子,46
624,而且,45
673,爸爸,45
1005,一年,45
1087,无语,45
1325,过分,45
1675,数学,45
1743,作业,45
1748,还行,45
1846,我会,45
2770,想起,45
2889,男朋友,45
4277,一步,45
4863,便是,45
6421,男孩,45
430,不住,44
983,估计,44
1348,果然,44
1885,实是,44
2237,身体,44
2956,超级,44
3043,原因,44
3050,人渣,44
3066,好好看,44
3796,安全,44
3871,粉丝,44
4027,没错,44
4522,伞兵,44
170,学到,43
1085,就算,43
1178,鬼才,43
1186,一家,43
1416,正义,43
2219,就行了,43
2353,选择,43
2417,名字,43
3035,难受,43
3218,美女,43
5026,准备,43
5751,之后,43
7099,科学家,43
8408,自由,43
93,说得好,42
112,舒服,42
210,对了,42
