,词语,次数
17,哈哈,98993
5794,致敬,6385
733,这个,5596
398,不是,5235
96,什么,4942
455,就是,4896
280,啊啊啊,4040
30,自己,3756
770,一个,3756
1170,朋友,3588
587,没有,3361
371,老师,3290
521,怎么,3281
330,可以,3225
76,真的,3068
1805,卧槽,3060
346,家伙,2887
345,好家伙,2830
734,我们,2536
1068,看看,2294
922,这么,2287
746,？？？,2267
699,知道,2142
328,真实,2045
91,现在,1979
684,还是,1852
339,时候,1818
759,已经,1781
1131,不会,1761
453,直接,1723
134,！！！,1710
84,中国,1663
929,为什么,1628
885,这样,1586
789,出来,1558
3832,保护,1551
125,谢谢,1530
796,因为,1499
927,视频,1464
16,一样,1462
1129,。。。,1392
888,一下,1382
594,喜欢,1348
747,up,1327
1116,这种,1300
31,加油,1296
1147,不要,1292
203,！！,1291
689,觉得,1291
743,感觉,1290
1247,开始,1278
379,一定,1265
1443,那个,1219
991,还有,1215
1095,不能,1205
740,问题,1181
709,？？,1121
1201,？？？？,1119
843,有点,1111
1075,所以,1111
822,厉害,1106
481,确实,1104
2637,明白,1092
2980,报道,1090
9,大学,1088
1691,东西,1040
231,可能,1036
921,你们,1033
506,起来,1022
782,应该,1010
1340,漂亮,978
935,好像,976
1894,小时,974
9894,期待,957
95,好看,941
61,呜呜,918
738,弹幕,918
239,姐姐,916
57,第一,911
1272,以为,899
1113,但是,895
520,不好,885
501,孩子,880
939,可爱,880
1740,辛苦,875
507,看到,865
485,学习,838
131,那么,828
728,doge,827
839,。。,824
959,原来,821
7086,国家,812
917,好好,805
1038,不知,798
700,美国,789
1135,他们,778
1033,个人,775
1371,害怕,768
1727,一次,763
2366,没事,761
2224,下次,753
1036,意思,729
811,人家,716
1396,呵呵,716
1091,？？？？？,714
293,英语,713
153,国人,712
349,一天,709
1758,时间,708
352,前面,699
920,不行,675
196,老婆,672
1983,一直,660
2241,这些,658
544,收藏,645
2738,世界,644
1451,多少,632
2137,竟是,632
875,很多,629
720,需要,624
887,不错,622
1465,兄弟,615
658,别人,611
1390,工作,611
3702,魔鬼,609
1019,为了,607
2546,然后,603
1151,是不是,593
23,其实,591
515,表示,590
1035,离谱,590
7333,公司,589
1229,不了,586
1529,一点,583
1718,大家,582
7642,好吃,575
1084,有人,569
2270,中生,569
2126,不到,566
912,不用,558
3254,狂喜,557
1684,灵魂,556
1880,要是,556
2248,不一,556
721,只是,555
2200,如果,544
1123,这里,539
522,怎么办,537
1445,手机,537
5175,不及,534
116,666,532
862,玩意,530
1328,进来,529
986,不可,527
4545,nb,527
3760,离开,514
1413,声音,505
1516,不过,505
869,专业,500
11620,中枪,499
1240,发财,492
3041,感谢,492
785,以前,486
2806,只有,483
11971,房子,482
162,两个,481
598,10,481
461,学生,480
1895,小时候,478
15715,妖魔,477
7749,鬼怪,473
29284,妖魔鬼怪,471
29285,魔鬼怪,471
1223,学校,466
172,！！！！,464
434,高中,458
7302,注入,456
5761,猴子,455
3988,关系,451
1865,最后,449
2586,真是,449
5174,猝不及防,449
5420,有钱,448
6315,永远,448
2581,天天,443
148,数学,442
1790,可怕,439
1944,肯定,436
643,建议,425
1086,发现,423
2693,举报,421
1293,快乐,420
1448,内行,420
2909,以后,420
237,对对,419
749,一般,416
2031,简单,410
2695,bgm,409
5291,冰冰,409
1447,直呼,405
953,标题,404
3451,没了,404
1528,不对,402
1850,来看,400
2045,支持,399
163,啊哈,394
1161,我家,393
2639,生物,391
705,嘿嘿,390
2939,人类,389
1089,正常,388
1374,可不,388
2351,的话,388
1284,分钟,387
2921,？？？？？？,384
154,人民,382
206,。。。。,381
1424,看着,381
2155,不如,381
943,口音,380
2652,111,376
690,初中,375
1085,突然,374
712,居然,373
2599,成功,371
665,化学,368
1524,过来,368
3283,20,367
6791,草草,366
0,知识,364
2977,大佬,362
1226,不得,361
1584,回来,361
1931,几个,361
5245,医生,361
3370,不想,359
5422,工资,359
2588,生活,358
7507,便宜,358
788,不出,354
802,说话,354
28737,饺子,353
3844,里面,352
1218,希望,350
2051,主要,350
12450,平安,347
1092,道理,345
1561,只能,343
11347,领导,343
807,根本,342
2899,妈妈,342
934,狗头,341
1031,哪里,341
7601,韩国,339
1357,脑子,338
2339,投币,338
2475,有用,338
3847,选择,338
21570,值钱,338
809,之前,337
2562,游戏,337
1157,普通,336
2332,看过,336
1163,容易,332
53,必须,331
1442,后面,330
2151,小丑,330
6194,恶心,330
954,是因为,329
1576,好多,329
2653,BGM,329
265,不多,328
1483,不敢,326
2765,城市,325
1369,12,324
1667,还行,324
1820,关注,323
1166,社会,322
334,没错,321
783,该是,321
866,干嘛,321
2646,1111,320
4567,日本,319
317,物理,318
1261,听不懂,318
23978,不兴,318
1759,地方,316
3078,想到,314
7997,正道,314
1053,年轻,312
458,放屁,310
1312,定理,310
1431,100,310
11252,房价,310
17432,买房,310
2120,部分,309
55,考试,308
319,一起,308
2656,11111,306
899,理解,305
97,只要,303
1303,紧张,302
1545,作业,302
7766,老板,302
2196,基本,301
599,记得,300
3150,还好,300
664,历史,299
284,重要,296
1976,一年,295
459,小学,293
1869,下来,293
6749,呱呱,292
22290,保险,292
1138,学到,291
5285,不信,291
3935,了解,290
145,太多,289
4421,报到,289
5953,垃圾,289
3231,tm,288
2822,非常,287
803,注意,286
2515,比较,286
3624,温柔,286
18649,细胞,286
923,为啥,284
1230,每天,284
1271,还以,283
1695,经常,283
1599,进去,282
2436,NB,280
2402,速度,279
3327,资本,279
1093,可是,278
15550,土地,278
112,上海,277
1379,真好,277
2745,同学,277
1203,那些,276
1276,我会,275
1595,完全,275
