,词语,次数
103,哈哈,6053
242,就是,970
208,不是,944
2239,期待,881
46,什么,762
314,没有,724
268,这个,619
115,现在,580
320,一个,569
12,可以,548
243,怎么,521
663,真的,506
34,中国,467
180,还是,463
30,我们,449
448,不会,396
59,这么,386
497,房子,376
239,因为,361
32,自己,360
87,知道,359
2079,保护,335
2004,好吃,331
91,时候,315
439,国家,305
41,已经,287
308,问题,283
1438,美国,274
190,不要,270
11,一样,268
297,城市,261
4914,保险,256
480,可能,252
1283,房价,247
513,确实,246
326,觉得,244
495,那么,243
2495,基金,243
3303,买房,241
221,。。。,240
287,不能,239
179,所以,238
824,不好,230
102,还有,226
708,？？？,223
1652,老师,221
2994,孩子,212
3,他们,210
6,家伙,209
54,直接,209
741,但是,209
82,起来,207
5,好家伙,206
1256,这样,206
1568,人民,205
709,up,203
372,喜欢,202
785,公司,198
437,这种,197
1425,出来,196
893,视频,194
5160,致敬,192
822,便宜,190
18,呵呵,183
144,有钱,181
344,应该,180
407,多少,179
813,资本,176
945,感觉,175
1430,一下,171
77,世界,168
1518,银行,168
351,弹幕,162
58,为什么,159
765,大家,158
993,可比,158
3417,投资,157
275,开始,156
913,时间,156
949,不可,154
86,不知,153
791,人家,153
8099,比克,152
8098,可比克,150
2105,难吃,147
38,很多,146
369,10,146
418,！！！,146
1762,这些,145
2346,市场,145
544,20,143
788,你们,142
940,工资,142
2562,深圳,141
730,工作,140
321,个人,139
366,有点,138
553,不错,136
1594,经济,136
4079,散户,134
505,意思,133
1119,厉害,133
760,有人,132
4330,兴趣,132
88,那个,130
595,垄断,129
745,别人,129
1447,日本,128
598,主要,127
942,其实,127
73,漂亮,126
347,一直,126
472,以为,126
916,东西,126
3413,永远,126
1482,美元,125
599,要是,124
168,然后,122
1412,人口,122
324,年轻,121
868,价格,121
69,赚钱,120
237,第一,120
259,价值,120
621,不了,120
55,。。,119
1470,不行,119
4507,传销,119
731,小时,118
1620,以后,118
95,国人,117
1242,没钱,117
1657,东北,117
4085,白酒,117
140,？？,116
370,卧槽,116
582,好像,116
779,我家,116
1008,只有,114
1590,需要,114
628,不到,111
1572,股票,110
2749,苏联,110
410,不用,109
807,放屁,109
4327,感兴,109
4328,感兴趣,109
1559,以前,108
22,一年,107
1449,好好,107
408,只是,106
1200,力量,106
619,基本,105
1919,前面,105
213,太好了,104
214,人均,104
300,几个,104
1433,？？？？,104
1988,猪肉,104
106,地产,103
8113,达利,103
514,不过,102
873,关系,102
1720,腾讯,102
2246,贷款,102
379,谢谢,101
941,一定,101
1484,北京,101
1647,企业,101
2005,金融,101
1047,一次,100
2600,看看,100
130,大学,99
1280,如果,99
1794,为了,98
733,一点,97
3263,东莞,97
8155,好喝,97
285,科技,96
376,部分,96
487,块钱,96
1871,啊啊啊,96
104,房地,95
105,房地产,95
350,消费,95
618,年轻人,95
16458,默哀,95
2304,30,94
4083,收益,93
6045,加班,93
2870,买不起,92
24,50,91
384,肯定,91
469,！！,90
1028,不一,90
4077,经理,90
430,看到,89
664,不想,89
587,学校,88
1954,加油,88
