,词语,次数
15,哈哈,23484
545,朋友,2112
410,啊啊啊,1699
88,这个,1614
1379,看看,1602
111,不是,1306
373,什么,1187
163,卧槽,1122
67,就是,1019
354,一个,914
282,怎么,863
91,没有,804
225,可以,799
339,家伙,755
338,好家伙,739
391,？？？,687
293,自己,676
37,我们,652
60,时候,649
147,知道,640
129,真的,592
686,一下,584
372,为什么,499
140,小时,480
138,这么,465
525,已经,436
90,猴子,428
364,开始,417
236,出来,399
256,视频,395
115,可爱,393
182,现在,387
420,还是,384
59,那个,374
72,不能,366
626,原来,355
27,！！！,349
804,。。。,339
1393,中生,339
2520,饺子,338
1154,一次,336
316,？？？？,331
344,？？,322
806,感觉,322
141,小时候,320
558,不会,319
588,一样,315
609,直接,313
153,所以,311
352,一天,301
183,以为,296
851,这样,295
831,东西,290
83,害怕,286
107,这种,281
106,还有,279
259,兄弟,276
543,不要,275
4492,细胞,266
21,中国,263
114,有点,263
478,你们,256
1117,因为,251
811,医生,250
47,好像,242
2149,？？？？？,233
809,谢谢,232
276,生物,230
139,问题,229
176,可能,226
203,觉得,225
121,起来,222
342,厉害,222
229,看到,221
215,！！,213
188,doge,210
94,嘿嘿,208
3212,速度,208
19,。。,205
244,老师,200
75,好吃,199
739,是不是,197
617,第一,194
805,来看,194
893,弹幕,194
416,玩意,193
5016,化学,193
501,不知,192
4657,高中,191
21572,桀桀,191
248,但是,190
516,应该,190
1466,时间,186
1106,一直,184
130,喜欢,183
4781,草草,183
9056,美国,181
957,表示,180
74,不好,179
233,一定,179
665,人类,174
3099,空间,174
247,那么,171
1454,运动,171
408,不行,170
186,孩子,169
1704,进来,169
1487,单身,166
127,确实,163
7,up,162
5017,物理,158
200,一点,156
965,怎么办,155
1012,前面,154
268,好看,153
116,离谱,152
1643,嘿嘿嘿,152
17058,反讽,150
310,可怕,149
126,里面,148
1534,呜呜,148
13561,四维,146
581,知识,145
1464,不及,145
720,兔子,144
271,看着,143
882,收藏,142
1318,只是,142
4302,平衡,142
532,很多,140
1161,这里,138
1264,发现,138
3687,世界,138
80,狂喜,137
367,意思,135
624,好好,134
14281,大宝,134
5358,阻断,133
876,然后,132
2214,其实,132
2320,内行,132
34,以前,131
950,分钟,131
117,呵呵,130
1303,过来,130
232,不一,129
284,我家,129
1463,猝不及防,128
58,看过,127
466,经常,127
1427,天一,127
1605,科普,127
355,个人,126
1810,不到,126
3318,不对,124
11686,广东,124
194,人家,123
605,漂亮,123
1368,正常,122
2319,直呼,122
431,有人,121
996,两个,121
137,国人,120
785,有用,119
2656,手机,118
1181,只有,117
2516,虫子,116
569,不了,115
1213,需要,115
1859,？？？？？？,115
10501,三维,115
100,要是,114
457,不用,114
148,吓死,113
13367,抄袭,113
1192,多少,112
1523,不可,112
207,吓人,111
2833,真实,111
5665,避孕,111
181,他们,110
750,突然,110
1656,放心,110
15437,角速度,110
2250,印度,108
2980,监控,108
585,bgm,107
1399,这些,107
1446,男朋友,106
5,大家,105
231,科学,105
815,不出,105
1114,没了,103
4426,值得,103
93,没事,102
940,中医,102
213,恐怖,101
1394,。。。。,101
2038,医院,101
10503,维空间,101
118,之前,100
269,眼睛,100
500,声音,100
832,！！！！,100
892,不敢,100
1139,听不懂,100
79,不过,99
967,如果,99
