,词语,次数
9,哈哈,7809
362,就是,623
55,什么,543
195,不是,520
16,这个,460
197,怎么,422
10,自己,387
129,真实,387
286,没有,340
135,真的,333
3530,辛苦,330
134,这样,303
405,一个,302
4372,保护,295
57,这么,283
86,可以,280
3,我们,247
721,领导,245
614,工作,244
1046,公司,243
4,直接,218
276,不会,205
443,这种,205
462,一样,205
1179,老板,201
33,知道,197
313,？？？,195
849,加油,191
1418,up,191
348,还是,189
49,问题,188
386,现在,186
3010,教练,180
139,不要,173
752,喜欢,163
158,视频,158
564,姐姐,158
281,觉得,156
235,时候,154
28,已经,151
289,个人,149
259,感觉,146
850,谢谢,144
205,弹幕,140
435,公务,140
436,公务员,140
1085,工资,140
982,因为,138
42,家伙,135
41,好家伙,134
2035,不及,134
189,确实,133
193,。。。,132
267,老师,131
156,紧张,130
54,为什么,128
403,不能,126
2034,猝不及防,122
204,可能,121
80,不好,119
872,呜呜,119
391,别人,118
477,所以,117
1008,加班,117
83,有点,116
169,你们,113
1003,小时,113
176,面试,112
318,。。,112
3888,妈妈,112
1849,朋友,111
178,第一,109
1066,成功,108
413,？？？？,107
940,后面,107
428,关系,105
241,同事,103
1661,大佬,103
109,出来,101
192,很多,101
35,应该,99
200,那个,98
250,开始,98
280,？？,97
183,还有,96
512,多少,96
447,但是,94
132,考试,93
184,这些,93
1099,那么,92
657,好像,91
339,时间,90
60,不行,88
347,一下,87
12588,123,86
102,不用,85
2531,介绍,85
329,人家,84
115,他们,83
519,不知,82
994,呵呵,81
1139,单位,80
515,需要,79
883,！！！,78
13,厉害,76
70,一直,76
202,大家,75
497,东西,75
805,起来,75
879,好看,75
1293,社会,75
929,一定,74
208,漂亮,73
356,一点,73
632,大学,73
223,前面,72
467,不过,72
771,花钱,72
1375,孩子,72
402,双休,70
1004,上班,70
3983,抱抱,70
239,然后,69
548,年轻,69
8097,脂肪,69
258,一般,67
385,啊啊啊,67
1457,为了,67
2455,摸鱼,67
1962,支持,66
1977,企业,66
2770,资本,66
1459,怎么办,65
835,卧槽,64
562,小姐,63
563,小姐姐,63
1122,如果,63
161,要是,62
846,现实,62
869,！！,62
1647,道理,62
1850,其实,62
8057,假设,62
400,没错,61
604,不错,61
266,重要,60
649,？？？？？,60
866,不了,60
1244,生活,60
6375,上海,60
396,肯定,59
466,不一,59
476,尴尬,59
1176,不到,59
1636,一天,59
407,不可,58
4011,学到,58
64,感谢,57
481,太多,57
736,的话,57
1011,原来,57
1300,辞职,57
1689,一起,57
53,以为,56
65,看到,56
303,10,56
332,意思,56
1276,不想,55
1396,下班,55
1652,离职,55
2241,世界,54
2793,宿舍,54
822,能力,53
854,好好,53
1319,正常,53
2693,有人,53
1025,工人,52
1026,努力,52
3114,起步,51
6351,985,51
85,这里,50
395,说话,50
1769,程序,50
4845,身体,50
330,只是,49
1247,实话,49
1767,学院,49
1914,中国,49
2772,本家,49
4347,阿里,49
8077,熬夜,49
1395,举报,48
1415,有用,48
2771,资本家,48
2856,容易,48
3529,医生,48
371,有些,47
634,毕业,47
960,一次,47
1058,放屁,47
1254,劳动,47
2308,两个,47
2551,女生,47
31,收藏,46
523,学生,46
713,可爱,46
2739,不算,46
983,只有,45
988,根本,45
1181,扯淡,45
2614,教育,45
2980,996,45
1010,国家,44
1024,打工,44
1267,员工,44
1816,专业,44
1681,头发,43
4336,程序员,43
6860,对对,43
751,经历,42
777,。。。。,42
986,还好,42
1053,真是,42
1060,每个,42
1495,不多,42
2182,设计,42
2648,或者,42
8098,脂肪肝,42
256,好多,41
333,模拟,41
461,声音,41
526,是不是,41
904,666,41
913,快乐,41
1303,对了,41
1970,表示,41
2162,小哥,41
5300,建筑,41
5617,hr,41
6227,认知,41
6444,男朋友,41
47,doge,40
113,之前,40
1336,没事,40
1541,学习,40
1730,注意,40
2025,广告,40
8054,直属,40
9976,标签,40
220,最后,39
268,回答,39
297,只能,39
788,学校,39
936,几个,39
1087,明白,39
1256,看看,39
1572,以后,39
1653,建议,39
2711,三观,39
3556,希望,39
382,每天,38
1071,休息,38
1742,不对,38
1827,看着,38
2171,不得,38
3042,方向,38
6349,重大,38
298,卑微,37
518,人才,37
1140,其他,37
3069,自动,37
6090,律师,37
315,害怕,36
571,当然,36
580,干嘛,36
653,文化,36
659,答案,36
1800,有钱,36
2780,喝酒,36
3012,开车,36
7115,对象,36
245,普通,35
1660,关注,35
2259,配音,35
