,词语,次数
49,哈哈,20486
6038,报道,1009
90,这个,918
6,卧槽,897
22,家伙,708
21,好家伙,692
223,不是,686
766,啊啊啊,685
170,什么,596
84,一个,527
95,就是,498
1599,魔鬼,492
397,灵魂,477
1597,妖魔,470
1601,鬼怪,469
1598,妖魔鬼怪,468
1600,魔鬼怪,468
1794,发财,463
100,离开,462
8023,注入,447
121,可以,410
11,老师,401
27,朋友,382
302,出来,377
114,？？？,366
7,这么,357
211,怎么,324
64,真的,321
20,不兴,310
6037,呱呱,282
35,好看,277
2538,报到,277
174,没有,258
268,直接,255
391,东西,249
19,可不,244
158,一定,230
546,！！！,219
311,厉害,216
210,知道,212
352,有点,207
1584,已经,204
11550,财大,203
482,。。。,200
152,自己,197
147,还是,194
537,nb,194
1334,盗墓,188
2455,收藏,187
140,doge,180
262,为什么,180
231,？？？？,176
640,视频,174
423,？？,173
1792,升官,173
287,那个,172
273,天天,171
1793,升官发财,170
106,好好,168
455,时候,167
162,开始,165
334,一下,165
6319,告辞,164
488,起来,163
252,玩意,159
1286,上周,157
374,还有,156
254,看到,153
993,up,152
89,好像,151
419,不会,149
88,感觉,148
171,以为,148
830,！！,146
250,举报,145
36,下次,144
1076,离谱,144
57,一样,143
6526,吸吸,139
1020,我们,138
318,现在,137
67,第一,133
293,漂亮,133
770,你们,132
1065,加油,130
1253,没事,130
659,原来,126
232,NB,124
3252,再见,121
3466,字体,120
240,应该,119
553,弹幕,119
1005,666,119
2450,大佬,119
139,看看,118
530,黄人,118
389,声音,116
16,不要,113
4547,工地,113
43,这样,111
557,手工,111
547,祖传,110
457,。。,109
641,喜欢,109
261,？？？？？,108
874,进来,106
5702,冲冲,106
2014,不好,104
242,不能,102
428,不了,102
1400,国家,102
69,一次,101
529,害怕,101
846,专业,101
1310,进去,101
278,意思,100
7113,坦克,99
498,垃圾,98
91,bgm,96
336,没了,96
38,鲶鱼,95
367,不行,95
11734,饭盒,95
151,这种,94
1292,死刑,92
135,那么,91
354,口音,91
1139,家里,91
1187,犊子,91
1780,过去,91
2661,手机,91
220,有钱,90
17,人家,88
61,谢谢,88
138,这次,87
720,三星,87
1321,几年,87
222,可能,86
896,封面,86
192,兄弟,84
355,不对,84
1975,不知,84
96,老哥,82
122,所以,82
241,多少,82
3,觉得,80
842,呵呵,80
1249,辛苦,80
70,前面,79
682,不错,79
3016,心脏,79
721,三星堆,78
1063,狂喜,78
2574,壁纸,78
219,要是,77
934,这些,77
1931,不到,77
74,确实,76
719,10,76
1470,钓鱼,76
68,第一次,75
952,世界,75
1067,是不是,74
2974,电脑,73
243,失败,72
1455,判刑,72
801,青铜,71
984,时间,71
2562,外国,71
214,一万,70
454,问题,69
510,这里,69
976,里面,69
2729,BGM,69
3465,学习,69
5084,呜呜,69
237,？？？？？？,68
357,哪里,68
608,以前,68
1300,无期,68
56,不一,67
107,好好看,67
499,垃圾桶,67
1276,便宜,67
125,看着,66
579,硬核,66
255,啊哈,65
1374,中生,65
1831,魔法,65
2375,巨人,65
3884,博物,65
1135,现代,64
6013,老婆,64
486,还行,63
645,阴间,63
897,狗头,63
1017,还以,63
2631,打印,63
3885,博物馆,63
11576,45,63
288,个人,62
2732,牛蛙,62
9086,正片,62
134,不用,61
176,一点,61
571,小时,61
714,过来,61
1593,比划,61
2424,好评,61
3477,设计,61
973,飞机,60
1952,一般,60
8,老公,59
826,真是,59
946,中国,59
1346,合金,59
476,但是,58
722,文物,58
2874,混沌,58
4883,指甲,58
850,。。。。,57
1708,有人,57
3223,厕所,57
4230,情商,57
5345,软件,57
16606,电网,57
141,建议,56
1379,不长,56
2007,woc,56
703,技术,55
932,20,55
1487,鉴定,55
1514,起步,55
1687,一直,55
6346,对劲,55
8167,支架,55
9940,幻影,55
81,肯定,54
366,需要,54
607,这人,54
788,注意,54
1205,！！！！,54
1592,不敢,54
3710,思源,54
11107,欧泊,54
113,试试,53
542,系列,53
1319,一线,53
4428,欢迎,53
6345,不对劲,53
1854,非常,52
3181,会上,52
4625,不及,52
5028,限定,52
2,因为,51
194,别人,51
319,可爱,51
365,后面,51
880,尚书,51
2880,感谢,51
4437,一眼,51
34,头发,50
602,宝宝,50
747,想要,50
829,哦哦哦,50
839,制作,50
1577,黑手,50
4151,四年,50
146,值钱,49
315,不得,49
360,估计,49
559,小哥,49
942,该是,49
1359,他们,49
1392,五年,49
638,看过,48
1615,不过,48
133,其实,47
572,小时候,47
637,表示,47
1919,两个,47
2528,听不懂,47
10954,家电,47
9,不同,46
40,男朋友,46
727,大家,46
736,塑料,46
878,刑部,46
1499,芜湖,46
1722,下面,46
2030,我家,46
3859,空降,46
3920,18,46
6756,代工,46
14246,商用,46
16611,家电网,46
226,现场,45
854,高一,45
912,想到,45
1718,经典,45
1973,上面,45
2077,！！！！！,45
2703,下来,45
3236,首页,45
16610,国家电网,45
16627,U盘,45
610,居然,44
1137,化学,44
1381,十年,44
1568,地方,44
4682,游戏,44
205,说话,43
344,浪费,43
3150,默认,43
5509,火钳,43
7073,卵石,43
16092,云龙,43
266,干嘛,42
968,内行,42
1323,挖出,42
1561,题材,42
2888,踩点,42
4172,战国,42
4548,老头,42
7705,动机,42
18,故事,41
23,只有,41
276,玩意儿,41
871,标题,41
1324,挖出来,41
3711,免费,41
3929,2,41
6744,不多,41
8402,献出,41
11461,鹅卵,41
11462,鹅卵石,41
204,颜色,40
229,只是,40
595,工业,40
662,看出,40
1031,营销,40
1399,上交,40
1462,千万,40
2016,爷爷,40
3249,梦幻,40
3897,2016,40
4375,云南,40
4624,猝不及防,40
4869,开发,40
6801,联动,40
118,孩子,39
294,突然,39
606,警告,39
1403,徒刑,39
2031,一块,39
2532,终于,39
2563,国小,39
3185,麻烦,39
4329,凡尔,39
7704,永动机,39
798,最后,38
920,背景,38
967,直呼,38
1335,盗墓贼,38
1734,几个,38
1887,使用,38
1963,然后,38
2148,成功,38
4330,凡尔赛,38
5697,投币,38
6050,网站,38
6173,简单,38
6266,英语,38
9062,支持,38
16639,充电,38
202,看见,37
387,尼玛,37
743,工艺,37
922,6666,37
1505,合法,37
1545,暗示,37
1551,枪毙,37
1814,tm,37
33,如果,36
44,真好,36
73,男人,36
282,容易,36
663,逐渐,36
1032,销号,36
1121,的话,36
1159,打开,36
1316,不出,36
1865,？？？？？？？,36
2568,如此,36
2664,黑色,36
4998,少年,36
6510,嘿嘿,36
8998,起飞,36
1,真实,35
12,想起,35
46,小伙,35
112,发现,35
869,记得,35
2679,广告,35
4522,越来,35
4678,狗子,35
4866,汉代,35
5709,身体,35
8145,血管,35
144,不值,34
178,不可,34
524,国产,34
779,氧化,34
795,之前,34
1066,大师,34
1298,出土,34
1311,量刑,34
1396,还好,34
2447,看起,34
2883,中二,34
4523,越来越,34
5399,建模,34
12121,乌龟,34
10,同意,33
265,手艺,33
343,一起,33
512,听到,33
535,朋克,33
679,动画,33
724,发明,33
948,过分,33
975,希望,33
1412,前方,33
1466,地下,33
1480,辈子,33
2024,哇哇,33
2601,相机,33
3328,方块,33
3487,biang,33
7209,卓别林,33
14836,一品,33
92,真不,32
119,以后,32
249,准备,32
689,眼睛,32
903,国人,32
1413,高能,32
1436,反应,32
2182,学到,32
2448,看起来,32
2635,随便,32
2882,桌面,32
