href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1pN411d7ir,4:49,那些被自己“杀”死的动物，既心酸又好笑,BV1pN411d7ir,162.1万,1121,Hi熊宝包,1222214921
https://www.bilibili.com/video/BV1nf4y1y7fw,7:21,拉屎时如何优雅的压住水花？理论加实操硬核教程来喽,BV1nf4y1y7fw,161.1万,6691,全球档案馆,374377163
https://www.bilibili.com/video/BV1xr4y1N7Lv,4:40,【吴医生小课堂】武器强化系列1— 早泄治疗行为疗法之动停技术,BV1xr4y1N7Lv,160.6万,7028,泌外吴姑娘,910705
https://www.bilibili.com/video/BV1k54y1W7DF,0:49,手银怎么戒掉！,BV1k54y1W7DF,160.3万,4091,良医师,602082725
https://www.bilibili.com/video/BV1sy4y1m7Vm,4:10,大米里的虫子放大1500倍看，简直就是头“怪物”,BV1sy4y1m7Vm,160.1万,2603,微观小卡,388094867
https://www.bilibili.com/video/BV1mb4y197nf,1:46,今年贾玲说的话千万不能相信！,BV1mb4y197nf,159.3万,2074,王继勇医生,472919330
https://www.bilibili.com/video/BV1Eh411y7od,4:18,【男科科普】20岁小伙儿手艺活成瘾，男科专家张广清在线‘拿捏’,BV1Eh411y7od,159.2万,1337,中医男科张广清,1952851792
https://www.bilibili.com/video/BV1Yz4y167Dw,3:13,【水水劳斯】揭秘网络热门视频里的科学原理｜第六集,BV1Yz4y167Dw,158.6万,1143,爆炸实验室BoomLab,105588685
https://www.bilibili.com/video/BV16v4y1f7Ao,2:20,男子有所长必有所短 | 短丁可以变长吗 | 目不识丁的我们该如何抓个壮丁？ | 夹性芝士,BV16v4y1f7Ao,158.4万,4280,夹性芝士,326081112
https://www.bilibili.com/video/BV13o4y1o72x,1:12,为爱鼓掌消耗多少体力？带来的好处又有哪些呢？,BV13o4y1o72x,155.0万,707,乐有为医生,1103272707
https://www.bilibili.com/video/BV1RX4y157Ff,1:39,揭秘电钻钻头的骗局，曾经骗过上千万人，困惑终于知晓！,BV1RX4y157Ff,150.4万,751,魔力飞哥,30520341
https://www.bilibili.com/video/BV1hV411i7i1,0:34,男人每周排精几次好,BV1hV411i7i1,149.4万,1255,媛姐话中医,1634298255
