href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1Zr4y1K7ZN,04:18,海豚强奸人类？现实版人鱼虐恋,BV1Zr4y1K7ZN,616.2万,1.9万,借一步Talk,543815523
https://www.bilibili.com/video/BV1wy4y1H7qn,06:32,女孩自己插入50cm仙女管，险些送命,BV1wy4y1H7qn,565.3万,9645,不正经老丝,378885845
https://www.bilibili.com/video/BV1pf4y1y7hY,00:35,北京大爷说：你玩命的去挣钱，你还是买不起房子。现在北京的工资待遇，你就是十辈子都买不起房子。我们那时候结婚500块也行，5千块可以。现在你有5万块钱你能结婚吗！,BV1pf4y1y7hY,525.3万,1765,突袭手,690810700
https://www.bilibili.com/video/BV1yh411y7jj,02:14,交配时间最长的动物【比较排名】,BV1yh411y7jj,506.5万,1.9万,江之岛绫小路,39112946
https://www.bilibili.com/video/BV1hN411o7ie,06:39,是的，国家开始劝退买房了！,BV1hN411o7ie,480.9万,1.5万,大米饭的观点,668383032
https://www.bilibili.com/video/BV1Qp4y1n7Ts,09:26,洗稿？抄袭？盗视频？我从来没见过如此令人作呕的生意！,BV1Qp4y1n7Ts,456.8万,4.4万,三代鹿人,5870268
https://www.bilibili.com/video/BV1B5411N7QT,03:00,穿背心的老院士，86岁，重病，还在敲代码，单手！,BV1B5411N7QT,414.2万,1.6万,国士无双人物传奇,504323253
https://www.bilibili.com/video/BV1g54y1s7sV,05:51,【郑爽】你不是脆弱，你是让人毛骨悚然｜代孕弃养，这次真的没法原谅,BV1g54y1s7sV,391.6万,37.7万,米茶心理,526626097
https://www.bilibili.com/video/BV1mv411s7QD,05:05,抖音40万粉博主赤裸裸地抄袭我们,BV1mv411s7QD,379.5万,3.8万,小透明明TM,192090
https://www.bilibili.com/video/BV1jX4y1N7vq,04:12,“为什么你眼中满含泪水？小时候我不懂但奇怪也哭了! !”,BV1jX4y1N7vq,372.1万,8851,种花知兴衰,12598849
https://www.bilibili.com/video/BV1tA411H7ou,02:57,他去世后，中国再不会有这样的“丐帮教授”了：咋会有这么“傻”的大学教授呢？,BV1tA411H7ou,370.0万,8847,国士无双人物传奇,504323253
https://www.bilibili.com/video/BV1yv4y1o7kj,01:30,国外一医院用这种方法提供免费睾丸癌检测服务，啊这...@油兔不二字幕组,BV1yv4y1o7kj,342.5万,1830,油兔不二字幕组,15967711
https://www.bilibili.com/video/BV1mf4y167tT,02:12,4个最离谱的作弊事件,BV1mf4y167tT,328.5万,3530,鸽子墨斯,286290081
https://www.bilibili.com/video/BV1Yo4y1o7oz,03:13,速览！特朗普总统生涯名场面,BV1Yo4y1o7oz,328.1万,9153,共青团中央,20165629
https://www.bilibili.com/video/BV1D5411J7d1,03:09,用嘴提供服务，属于卖淫嫖娼吗？,BV1D5411J7d1,327.4万,7029,张三普法,18337466
https://www.bilibili.com/video/BV1fV411479u,05:18,家暴者傅雷，三代人的悲剧——《傅雷家书》的另一面,BV1fV411479u,305.6万,8997,-阿健-,18690024
https://www.bilibili.com/video/BV1uv41147w7,05:57,【罗翔】和领导打麻将故意输给他，间接送礼构成犯罪吗？,BV1uv41147w7,305.0万,1.6万,罗翔说刑法,517327498
https://www.bilibili.com/video/BV1pU4y1x74e,05:58,【罗翔】红包赌局：手气最佳继续发，末位数最大继续发红包？,BV1pU4y1x74e,295.0万,1.3万,罗翔说刑法,517327498
https://www.bilibili.com/video/BV1Kv4y1Z7Hg,01:54,你上黄色网站的影像，我都录下来了，你怕不怕？,BV1Kv4y1Z7Hg,285.3万,7554,学法联盟,650966649
https://www.bilibili.com/video/BV1qU4y1W71V,03:51,男生最爱怎么表达生理需求？那些让女生脸红的“男性私密数据”！,BV1qU4y1W71V,278.6万,1.8万,知心者联盟,390371228
https://www.bilibili.com/video/BV1tr4y1P78Z,07:31,【JUMP】天价骨灰盒同时收割阳间和阴间,BV1tr4y1P78Z,277.4万,3771,暴躁的仙人JUMP,651039864
https://www.bilibili.com/video/BV1v5411J7N2,04:17,都市报道【匿名举报污染被打致颅脑损伤！告密者是谁？严查！绝不姑息！】,BV1v5411J7N2,275.8万,1.0万,河南都市报道,494436551
https://www.bilibili.com/video/BV1gX4y1T7Ci,02:59,如此的性感，竟然来自冰冷的岩石【文艺复兴大师作品系列】,BV1gX4y1T7Ci,275.4万,2189,大白的洛阳铲,401881681
https://www.bilibili.com/video/BV1Qz4y1S7XP,07:27,【JUMP】求求喜剧人们别天天哭丧了。,BV1Qz4y1S7XP,271.7万,7960,暴躁的仙人JUMP,651039864
https://www.bilibili.com/video/BV1EV411t7Qd,03:09,史上第一例卖睾丸案,BV1EV411t7Qd,263.0万,5130,学法联盟,650966649
https://www.bilibili.com/video/BV15V411i7HG,07:02,哪怕注定失败，我们也会竭尽全力！【温柔JUNZ】,BV15V411i7HG,262.6万,1.4万,温柔JUNZ,265059948
https://www.bilibili.com/video/BV1k54y1W7vi,04:16,罗老师教你如何分手,BV1k54y1W7vi,261.6万,5087,学法联盟,650966649
https://www.bilibili.com/video/BV11t4y1z7Tz,01:30,辽宁广播电视台主持人朱霞怼因为泡菜而骂李子柒的韩国网友，来看看文化人是怎么出这口气的,BV11t4y1z7Tz,257.3万,4897,乌龟呱呱叫,269290007
https://www.bilibili.com/video/BV1Vi4y1c7Qe,02:10,中国第一代搜救女机长，东海守护神，帅到半个中国的女孩都为她尖叫！,BV1Vi4y1c7Qe,255.2万,1.1万,绍兴青年,494915055
https://www.bilibili.com/video/BV1U54y1W7We,02:58,建议改为：央 视 新 收 视 密 码（央视记者庄晓莹）【1080P】,BV1U54y1W7We,253.4万,4474,寻望01,23823165
https://www.bilibili.com/video/BV1Jy4y1m7we,02:15,拾荒老头被撞死，直到他去世，一个藏了21年的震撼秘密才揭开，他太伟大了,BV1Jy4y1m7we,251.6万,7836,国士无双人物传奇,504323253
https://www.bilibili.com/video/BV1rh411y7M1,08:50,【罗翔】提前安装防卫装置防盗，谁碰谁死，犯法吗？,BV1rh411y7M1,249.7万,1.8万,罗翔说刑法,517327498
https://www.bilibili.com/video/BV1rU4y1x7Bk,02:08,开头10s就能让你把币交了！致敬人民警察！,BV1rU4y1x7Bk,248.1万,4326,贵州共青团,452215100
https://www.bilibili.com/video/BV13p4y1H7F4,02:34,差点死在医院过道的国宝级大师！,BV13p4y1H7F4,244.7万,5907,国士无双人物传奇,504323253
https://www.bilibili.com/video/BV1xv411e7jW,06:13,吹捧美国空气香甜，诋毁祖国家乡，回国的下场大家满意了,BV1xv411e7jW,243.3万,9944,老赵趣谈,702959201
https://www.bilibili.com/video/BV1PX4y1N7LP,01:25,中国各省D罩杯女生比例排名【男生勿入】【数据可视化】,BV1PX4y1N7LP,239.8万,6558,江之岛绫小路,39112946
https://www.bilibili.com/video/BV1FN411R7mN,01:30,男生的快感程度【女生慎入】,BV1FN411R7mN,238.5万,5499,江之岛绫小路,39112946
https://www.bilibili.com/video/BV1nT4y1K7pM,05:36,郑爽就是被一对缺陷型父母养出来的工具人，她很可恨，也很可悲。,BV1nT4y1K7pM,234.0万,8672,船长梁晓玲,490176501
