href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1tN411d7M2,08:18,央行“限贷令”下，房贷缩水60%！北上广深齐涨，咱别卷了行吗？,BV1tN411d7M2,117.6万,2005,蓝白argentina,432597324
https://www.bilibili.com/video/BV1tA411M7qA,02:38,教会了徒弟，饿死了师傅,BV1tA411M7qA,112.4万,364,喜欢玩基金的关注我,170560057
https://www.bilibili.com/video/BV1Pf4y1y7KW,04:09,中国为什么要反垄断？,BV1Pf4y1y7KW,94.1万,804,财可夫斯基,274310388
https://www.bilibili.com/video/BV1Ky4y1Y7uh,05:46,一条毛巾居然值1000万,BV1Ky4y1Y7uh,80.3万,394,财可夫斯基,274310388
https://www.bilibili.com/video/BV1tt4y1r735,09:07,UP实测同时买6种理财产品，1个月后能挣钱吗?,BV1tt4y1r735,79.2万,6407,-LKs-,125526
https://www.bilibili.com/video/BV13y4y1J7Vx,07:28,开个快递驿站，能赚多少钱,BV13y4y1J7Vx,78.5万,629,商业小纸条,434185303
https://www.bilibili.com/video/BV1nb4y1R7uF,02:11,东北的生育率有多吓人,BV1nb4y1R7uF,78.3万,6413,小张讲财经,1586989078
https://www.bilibili.com/video/BV1Wz4y1S7wU,06:15,保险交十年真能拿回本金吗？信了你就被骗了！带你看清保险套路,BV1Wz4y1S7wU,72.0万,3499,二姐聊保障,353017413
https://www.bilibili.com/video/BV16f4y1z78L,04:24,洋猪是如何入侵中国的？,BV16f4y1z78L,66.7万,1344,财可夫斯基,274310388
https://www.bilibili.com/video/BV1d54y1Y712,04:25,100万的房子涨到200万，卖方赚的谁的钱？卖方不想让你知道的真相,BV1d54y1Y712,66.6万,731,付鹏的财经世界,662660667
https://www.bilibili.com/video/BV1Rh411k7UP,03:48,郑爽被索赔9.2亿，连夜贱卖1.5亿豪宅，身家12亿却在哭穷,BV1Rh411k7UP,64.4万,1414,林新伟新思维,333858062
https://www.bilibili.com/video/BV1GX4y1N78s,09:07,【美食与资本4】山寨食品之王：一年血赚38亿，专注山寨19年，达利园发家史,BV1GX4y1N78s,64.1万,4206,青年门派,447297362
https://www.bilibili.com/video/BV1Xz4y127S4,09:17,揭秘保险公司的经营黑幕【财经故事会】,BV1Xz4y127S4,61.5万,4600,柳行长,23326926
https://www.bilibili.com/video/BV1dX4y1P7Lj,01:50,接连反转！华尔街大佬疯狂复仇，美国散户惨遭围剿！谁输谁赢马上就会知道,BV1dX4y1P7Lj,61.5万,150,李三金Alex,67299944
https://www.bilibili.com/video/BV1dA411M7vQ,05:32,揭秘中国最神秘的民生工程—菜篮子工程,BV1dA411M7vQ,60.2万,987,财可夫斯基,274310388
https://www.bilibili.com/video/BV1yv4y1o7UB,01:17,贫穷的本质,BV1yv4y1o7UB,58.7万,255,菜鸟的足迹,588598062
https://www.bilibili.com/video/BV1Wr4y1K7YQ,07:31,为什么看到一块空地，中国人第一时间就想种菜？,BV1Wr4y1K7YQ,58.1万,3976,DT编辑部,386251043
https://www.bilibili.com/video/BV1wp4y1H7Hx,01:27,加拿大居然现在每月给人们发1W连发四个月,BV1wp4y1H7Hx,57.3万,115,行走的大大大羊腿,1289012110
https://www.bilibili.com/video/BV1Nh41127fE,07:09,【美食与资本3】中国最低调的奶茶，一年赚65亿元，门店超过10000家，蜜雪冰城凭什么牛？,BV1Nh41127fE,56.5万,4258,青年门派,447297362
https://www.bilibili.com/video/BV1Jb4y1R7ve,01:27,加拿大满大街的别墅一元处理，甚至开始白送了,BV1Jb4y1R7ve,56.2万,243,行走的大大大羊腿,1289012110
https://www.bilibili.com/video/BV1zf4y1z77P,00:50,有被冒犯到！《绿韭菜之歌》献给广大基民，伤害性不高，侮辱性极强！,BV1zf4y1z77P,54.3万,434,花柴BB基,1508988764
https://www.bilibili.com/video/BV1yf4y1671p,06:24,【厉害】散户战争：美国韭菜暴走，百亿对冲基金被冲垮！破产在即？,BV1yf4y1671p,54.3万,1496,厉害财经,477328270
https://www.bilibili.com/video/BV1kr4y1N7SD,00:15,曲面屏遇到比特币突然暴跌，原来韭菜竟是我自己，段子在身边,BV1kr4y1N7SD,54.2万,31,羞V羞,106601491
https://www.bilibili.com/video/BV15K411u75d,04:05,真要用美女抵债？委内瑞拉通胀高达53798500% 无力还债,BV15K411u75d,53.2万,310,鹅厂巨牛先生,1187565153
https://www.bilibili.com/video/BV1o5411E7p7,2:27:29,【央视纪录片】《资本的力量》（1080P 全5集）,BV1o5411E7p7,52.7万,1860,梦游小菜鸟,93775305
https://www.bilibili.com/video/BV1R64y1Z7XT,09:33,【纯干货】小白想买基金？先看完这个视频再决定吧！,BV1R64y1Z7XT,51.9万,1190,二狗学长好,72844725
https://www.bilibili.com/video/BV1y54y1s7Za,02:17,高压线房子为何不要碰？,BV1y54y1s7Za,51.6万,315,鹤老师说经济,493805437
https://www.bilibili.com/video/BV1Zv4y1Z7NP,02:47,2021年民法典新规！如果爸妈给你一套房，千万别要！,BV1Zv4y1Z7NP,50.7万,457,中男财经,1779855341
