href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1Z5411J7UX,07:13,最牛气女学员扣1965分，科三考试全程横冲直撞，教练多次刹车刹车,BV1Z5411J7UX,346.9万,8587,老实的刘教练说车,672416566
https://www.bilibili.com/video/BV1Cy4y117yZ,00:16,第一次车珠子，没有尺寸，看到老板儿子嘴里还没吃完的火腿肠。有了啊！,BV1Cy4y117yZ,159.9万,41,模具技术社,1928240084
https://www.bilibili.com/video/BV1St4y1B75X,08:26,关于我从年薪三十万996大厂离职变成废物这档事,BV1St4y1B75X,146.8万,9074,十元鲤,838792
https://www.bilibili.com/video/BV1ZX4y1K7yL,01:07,正局长和副局长关系不和，正局长让我送文件，副局长让我陪她办事，我该怎么办？,BV1ZX4y1K7yL,119.8万,1018,公务员干货,491307403
https://www.bilibili.com/video/BV1ro4y1o7oS,00:34,【ps教学】老板总是刁难我，还好我学会了这一招，文件变清晰,BV1ro4y1o7oS,115.1万,28,ps每日小课堂,518656772
https://www.bilibili.com/video/BV1jy4y1Y7QV,01:05,扒取网页上的英文表格，不需要一个个手打！不懂英文也没事，点进来看看这个翻译公式~,BV1jy4y1Y7QV,114.8万,85,秋叶-PPT,335567719
https://www.bilibili.com/video/BV19U4y1W7Uk,00:51,员工下班打麻将也要辞退？曹德旺：一辈子坚持做工人就不是好工人,BV19U4y1W7Uk,93.4万,1164,资鲸网,492841900
https://www.bilibili.com/video/BV1Wo4y1d71P,00:24,如何瞬间激怒一名程序员？,BV1Wo4y1d71P,93.3万,59,编程老师十柒,602056099
https://www.bilibili.com/video/BV1ip4y1W7Sa,03:31,资深500强HR分享｜面试被diss学历的完美回答,BV1ip4y1W7Sa,81.3万,427,求职救星瑞秋姐姐,471151393
https://www.bilibili.com/video/BV17T4y1K7gt,05:26,我要是年会中奖了，可以送给你,BV17T4y1K7gt,79.5万,6326,肝帝董佳宁,397490386
https://www.bilibili.com/video/BV1rt4y1z7dT,00:46,公务员面试现场，太真实了，你紧张了吗？,BV1rt4y1z7dT,77.5万,189,公务员干货,491307403
https://www.bilibili.com/video/BV14i4y1c7Ji,01:01,休假在外，领导叫你加班，你会怎么办？,BV14i4y1c7Ji,60.5万,1035,公务员干货,491307403
https://www.bilibili.com/video/BV1mT4y1N7w3,00:44,遇到讨厌的同事，千万不要对他的PPT做这3件事！,BV1mT4y1N7w3,60.1万,54,秋叶-PPT,335567719
https://www.bilibili.com/video/BV1Ny4y1e7iR,01:16,麦肯锡经典面试题：上海有多少只鸟？,BV1Ny4y1e7iR,55.7万,1127,大红姐有点东西,1426178487
https://www.bilibili.com/video/BV1ko4y1R7NQ,02:26,真实的富二代都让普通人绝望，富不过三代只是普通人的意淫,BV1ko4y1R7NQ,53.8万,210,黄兄解商业,471099088
https://www.bilibili.com/video/BV1Sp4y1n76j,01:34,面试不谈钱，后悔一整年,BV1Sp4y1n76j,53.5万,94,职场方肉,3417539
https://www.bilibili.com/video/BV1nf4y1k7GM,00:15,让腰酸背痛的美女瞬间通畅？嘎嘣脆…,BV1nf4y1k7GM,49.1万,20,正骨整脊康复,431268590
https://www.bilibili.com/video/BV13y4y117rR,01:46,Excel一分钟批量打印1000张桌牌，会议组织者福音！,BV13y4y117rR,48.6万,81,Excel精选技巧,515269622
https://www.bilibili.com/video/BV1N5411J771,00:18,只要小伙CAD画的好，小姐姐身边倒,BV1N5411J771,48.2万,34,3Dmax设计教学,430443132
https://www.bilibili.com/video/BV1mK4y1Q7cL,00:14,老板叫中午开工，不知道什么原因,BV1mK4y1Q7cL,43.8万,13,神州机械APP,1820482312
https://www.bilibili.com/video/BV1Cf4y1k74f,00:20,一句话整个公司奔溃,BV1Cf4y1k74f,42.6万,15,会计职场,699213714
https://www.bilibili.com/video/BV1AN411o7ai,03:10,【首发】医院里不同科室，差别太大，选科一定要慎重,BV1AN411o7ai,41.6万,3140,普外科曾医生,410558000
https://www.bilibili.com/video/BV17y4y127F2,03:19,你拼尽全力窥得先机，不过是富人的常识 #张燚伟 #职场,BV17y4y127F2,41.2万,144,张燚伟,690661734
https://www.bilibili.com/video/BV1uN411o7VV,00:49,PPT三维立体旋转效果，你值得拥有！,BV1uN411o7VV,41.1万,14,秋叶-PPT,335567719
https://www.bilibili.com/video/BV1MU4y1W7GT,09:57,劳动仲裁视频迎来催人泪下的《撤稿函》，通篇内容步步惊心，连“泄露商业机密”都扣上了…,BV1MU4y1W7GT,41.1万,2129,猪摸摸Li,11130880
https://www.bilibili.com/video/BV1bt4y1B7YN,01:05,Excel表头的正确做法～,BV1bt4y1B7YN,40.6万,134,山竹Excel表格教学,670562659
https://www.bilibili.com/video/BV1ty4y1n7LC,02:04,如何写一封完全规避法律风险的辞职信，99%的人都写错,BV1ty4y1n7LC,40.1万,100,大魔王NOVA聊职场,66878451
https://www.bilibili.com/video/BV1sy4y1m7rn,04:14,职场避雷|，和男朋友是一个单位的，一起住过单位宿舍，现在要分手，害怕流言蜚语,BV1sy4y1m7rn,39.2万,1319,GreenDonkey学习,481425807
https://www.bilibili.com/video/BV1kK4y1W7Xn,07:18,熬夜多疯狂，体检报告就有多刺激！看到没，这就是程序员的体检报告。,BV1kK4y1W7Xn,38.4万,1116,CodeSheep,384068749
https://www.bilibili.com/video/BV1xN411o7TF,09:17,27岁带过100位新人，六大花钱买不到的职场经验 | 女上司的秘密,BV1xN411o7TF,38.2万,777,郭甜茶,501459589
https://www.bilibili.com/video/BV1Dy4y1J7DD,04:58,反思：中国已推行5天工作制25年多了！为何仍有企业未实现双休？,BV1Dy4y1J7DD,37.6万,2282,可馨职隅,698344118
https://www.bilibili.com/video/BV1VK4y1W7gN,01:48,30多岁没有这三个心机都会混的很惨，你占几个？看懂的的人受益一生。,BV1VK4y1W7gN,37.2万,182,智慧研习社,472761116
https://www.bilibili.com/video/BV1Uo4y1d7WW,00:56,万能的Ctrl+E,BV1Uo4y1d7WW,35.7万,69,在学Excel,700800216
https://www.bilibili.com/video/BV1Gy4y1v7xy,01:27,遇到同事摸家底式套话，如何应对？ #升职加薪 #张燚伟 #职场,BV1Gy4y1v7xy,35.4万,199,张燚伟,690661734
https://www.bilibili.com/video/BV1c54y1e72H,00:58,阿里巴巴又抄袭创业公司，这次被告上法庭,BV1c54y1e72H,34.7万,409,射手科技自记账,527190367
https://www.bilibili.com/video/BV1my4y1E7Ww,01:35,7个办公必备的黑科技网站｜世界500强小姐姐分享,BV1my4y1E7Ww,33.6万,61,贝儿Belinda,2075997933
https://www.bilibili.com/video/BV14i4y1c7tt,05:57,从助理到年薪百万？如何跟老板谈工资的？当代社畜谈涨薪有多难？5大技巧智斗HR？,BV14i4y1c7tt,33.5万,221,穿香奈儿的毛小星,27744027
https://www.bilibili.com/video/BV1tv411s7f9,00:17,老板是在难为我们吗？这可能吗？,BV1tv411s7f9,32.7万,23,模具设计-UG编程,160187496
https://www.bilibili.com/video/BV1WA411H7it,01:40,曝光快餐店原料！（餐饮行业必备）,BV1WA411H7it,32.6万,53,彭楠的创业故事,438838611
https://www.bilibili.com/video/BV1Bz4y1S77E,03:32,提离职被加薪挽留，好马吃不吃回头草？,BV1Bz4y1S77E,32.6万,170,张燚伟,690661734
https://www.bilibili.com/video/BV1s54y1x7Je,07:31,【社畜的100种死法第2期】何旻哲教你如何搞砸与同事之间关系【令人心动的OFFER】｜职场礼仪｜打工人,BV1s54y1x7Je,32.4万,715,鹿懂懂,494096334
https://www.bilibili.com/video/BV1FK4y1s75N,01:05,薄薄一张纸，哪个不是拿命拼出来的，选择错了，不仅配不上自己的野心，也辜负了所受的苦难,BV1FK4y1s75N,32.3万,74,游一男建造师,474496561
https://www.bilibili.com/video/BV1Jy4y1m7f7,04:41,职场避雷|当领导同事给你介绍相亲对象,BV1Jy4y1m7f7,32.3万,700,GreenDonkey学习,481425807
