,词语,次数
0, ,7819
1,举,11
2,足,5
3,轻,19
4,重,26
5,哈哈,21530
6,哈哈哈,17865
7,哈哈哈哈,14451
8,就是,873
9,～,88
10,花儿,3
11,夺,30
12,笋,31
13,餐厅,2
14,都,1694
15,这样,342
16,是,4054
17,前,41
18,菜,40
19,有时,21
20,有时候,15
21,时候,261
22,甚至,19
23,不,1606
24,拿,95
25,这个,938
26,可,132
27,亡,13
28,也,1228
29,给,757
30,大熊,1
31,大熊猫,1
32,熊猫,4
33,留,25
34,口口,1
35,口粮,1
36,吧,1071
37,姐姐,396
38,好,2394
39,飒,12
40,大眼,1
41,眼睛,32
42,眨,9
43,呀,230
44,说,1001
45,真好,67
46,俺们,3
47,过年,57
48,过节,1
49,请客,1
50,请客吃饭,1
51,吃饭,59
52,上,277
53,鸡鸭,1
54,鸡鸭鱼肉,1
55,鱼肉,1
56,谁,320
57,泡菜,65
58,东北,36
59,酸菜,6
60,泡,9
61,出来,200
62,绝,139
63,杀伤,3
64,杀伤力,3
65,伤力,3
66,不大,26
67,侮辱,47
68,侮辱性,17
69,极,44
70,强,205
71,先,98
72,笑,441
73,为,137
74,敬,13
75,杀人,63
76,诛,46
77,心,151
78,还有,215
79,有关,28
80,关乎,4
81,森林,17
82,肉蛋,1
83,奶,23
84,淦,73
85,赞,146
86,虾仁,24
87,猪心,25
88,专门,13
89,淹,1
90,大白,7
91,大白菜,4
92,白菜,35
93,弄,24
94,一,335
95,冰箱,15
96,啊,2280
97,腌,3
98,咸菜,17
99,吗,1262
100,下次,329
101,发出,7
102,怼,14
103,他们,257
104,我们,521
105,家,113
106,要不是,12
107,不是,961
108,放,66
109,犄角,5
110,旮旯,4
111,要,653
112,就,1777
113,埋,15
114,土里,2
115,还,896
116,真是,105
117,格局,19
118,小,220
119,爽,200
120,棒,69
121,韩国,195
122,棒子,34
123,屑,2
124,文化,68
125,人,1182
126,太,735
127,力,42
128,姐,61
129,会,680
130,正道,204
131,光,301
132,因为,445
133,它,118
134,自己,1573
135,没有,672
136,有所,5
137,所以,208
138,想,444
139,多,439
140,占,20
141,点,215
142,哈哈笑,32
143,死,475
144,靠着,1
145,山东,77
146,才能,40
147,满足,12
148,需求,10
149,真可怜,6
150,可怜,60
151,解气,8
152,极度,8
153,舒适,11
154,你,2731
155,很,593
156,不过,112
157,很快,38
158,排,97
159,面,109
160,再来,28
161,一遍,32
162,凡尔,6
163,凡尔赛,6
164,？？？,544
165,66666,22
166,妙,86
167,酷毙,1
168,酷毙了,1
169,说得好,42
170,伤害,51
171,伤害性,4
172,但是,151
173,酸菜鱼,2
174,呐,52
175,却是,3
176,如此,34
177,牛,636
178,逼,391
179,爱,1115
180,地下,11
181,光头,8
182,如是,3
183,如是说,1
184,中国,545
185,国有,14
186,朝鲜,21
187,朝鲜族,4
188,东西,186
189,当然,31
190,原产,1
191,保护,786
192,舒服,42
193,无礼,2
194,而,111
195,侮,3
196,大,332
197,邻,3
198,味儿,10
199,太大,24
200,56,6
201,个,880
202,星座,3
203,支,4
204,花,36
205,即兴,1
206,评述,1
207,亿,28
208,遍,11
209,家庭,59
210,家庭环境,7
211,环境,26
212,不一,88
213,一样,213
214,厉害,253
215,狠,37
216,虽然,47
217,懂,296
218,这,2582
219,句,46
220,话,88
221,肯定,108
222,思密达,34
223,的确,27
224,不能,254
225,当,131
226,正,66
227,杀,102
228,疯,75
229,高,264
230,眼,20
231,真大,7
232,听不懂,19
233,啊哈,73
234,极大,7
235,喜欢,295
236,对对,85
237,降,18
238,维,10
239,打击,16
240,。。,135
241,对,619
242,nb,142
243,翻译,31
244,不了,115
245,台面,6
246,怕,101
247,犄,3
248,角,11
249,旮,4
250,旯,3
251,太会,12
252,哪,148
253,有,1837
254,地方,55
255,搁,13
256,那,915
257,玩意,82
258,玩意儿,33
259,可不,26
260,可不是,11
261,嘛,134
262,没,539
263,放不下,3
264,不下,31
265,席面,3
266,不正,24
267,正宗,3
268,是不是,125
269,韩国泡菜,4
270,历史,66
271,长,135
272,真,431
