,词语,次数
426,牛津大学,2
427,雅,22
428,礼,1
429,华南农业大学,1
430,农业,5
431,农业大学,3
432,拼,14
433,430,1
434,国药,1
435,药科,1
436,蓝,79
437,翔,23
438,广西,3
439,西医,2
440,北外,8
441,西工,2
442,西工大,2
443,刷,167
444,西安交大,4
445,爱,369
446,罗,130
447,老师,1125
448,689,1
449,浙江大学,22
450,yyds,58
451,大连,10
452,200,10
453,我心,19
454,特好,1
455,嗯,94
456,一定,240
457,行,125
458,清华北大,6
459,华北,6
460,尽,1
461,在,1060
462,脚下,1
463,河北,34
464,河北师范大学,4
465,云南,2
466,云南大学,1
467,690,4
468,",",83
469,意志,9
470,邮电大学,4
471,电大,4
472,华中,8
473,华中科,5
474,华中科大,1
475,中科,13
476,中科大,6
477,想,441
478,上清,19
479,真不,32
480,不是,818
481,够,36
482,天赋,21
483,特别,48
484,大人,12
485,人文,3
486,海洋,8
487,海洋大学,6
488,北京航天,1
489,航天,3
490,航天航空,1
491,航空,4
492,音乐学,3
493,音乐学院,3
494,定会,9
495,考上,119
496,她,166
497,工程,13
498,工程学,2
499,工程学院,2
500,家里,20
501,蹲,4
502,中国地质大学,2
503,地质,3
504,上海交通大学,5
505,686,1
506,江汉,1
507,青岛,2
508,北美,2
509,老娘,3
510,考不上,7
511,上下,5
512,下半,2
513,半辈子,5
514,辈子,25
515,没,529
516,男人,13
517,先上,1
518,上个,7
519,育才,1
520,高中,196
521,北京师范大学,4
522,京师,8
523,749,1
524,48O,1
525,南,24
526,晓,7
527,梦醒,1
528,看,715
529,如何,28
530,哈,73
531,5,128
532,0,194
533,一师,2
534,六百,2
535,!!,15
536,中南财经政法大学,1
537,中大,6
538,靠,89
539,保底,1
540,658,1
541,硬,14
542,坐,34
543,狭路,3
544,狭路相逢,3
545,相逢,3
546,勇者,4
547,勇者胜,2
548,阿,119
549,直接,379
550,这,1971
551,去,434
552,华农,1
553,巧,16
554,就是,913
555,猛虎,1
556,虎王,1
557,放屁,26
558,小学,135
559,小学生,17
560,学生,173
561,生来,16
562,646,2
563,未定,2
564,算,106
565,牛马,1
566,东华,2
567,东华大学,1
568,着,218
569,口,22
570,乌拉,3
571,一桶,1
572,行走,1
573,鸡血,2
574,记忆,28
575,北京外国语大学,3
576,医大,3
577,信息,26
578,来,538
579,本科,39
580,benk,1
581,语言,101
582,美术学,12
583,美术学院,12
584,确实,262
585,福,8
586,工,11
587,建工,1
588,技工,1
589,省,34
590,实验,43
591,央,6
592,学习,444
593,正,47
594,能量,13
595,宝刀,1
596,押,3
597,对,415
598,讹,1
599,啦,254
600,青鸟,2
601,江门,1
602,有,1262
603,海南,1
604,海南大学,1
605,曼,3
606,80,33
607,财大,4
608,战略,1
609,支援,2
610,部队,1
611,信息工程,2
612,八中,2
613,中等,4
614,等等,40
615,孩子,98
616,武汉理工,2
617,638,1
618,求求,16
619,飞起,4
620,起来,167
621,让,179
622,看到,188
623,渺小,3
624,鲁,17
625,东,6
626,华侨,1
627,华侨大学,1
628,合工大,3
629,电影,20
630,比,277
631,一本,44
632,高,238
633,50,22
634,表示,125
635,四百,3
636,百五,4
637,足够,11
638,基础,48
639,不好,128
640,怎么,540
641,怎么办,134
642,天津大学,1
643,借,25
644,吉,32
645,言,35
646,大武,2
647,厦大,14
648,大厦,1
649,北京电影学院,1
650,电影学,1
651,电影学院,1
652,郑州,2
653,郑州大学,2
654,410,3
655,跪求,2
656,仲,2
657,恺,2
658,643,1
659,577,1
660,528,1
661,740,2
662,毅力,5
663,！！！！！！,31
664,高一,129
665,本线,2
666,30,33
667,585,4
668,收藏,220
669,收藏夹,75
670,里,168
671,吃,223
672,灰,100
673,汕大,2
674,河南,26
675,河南大学,1
676,北京航空航天大学,1
677,航空航天,2
678,空航,2
679,天大,3
680,685,1
681,谢天谢地,3
682,附,3
683,华东师范,6
684,长沙,2
685,西安交通,3
686,西安交通大学,3
687,对外,2
688,对外经贸,1
689,对外经贸大学,1
690,外经,2
691,外经贸,1
692,经贸,1
693,经贸大学,1
694,名,32
695,对外经济贸易大学,1
696,经济,21
697,贸易,1
698,贸易大学,1
699,南开,9
700,中学,32
701,心理,43
702,心理压力,1
703,压力,28
704,承受,3
705,承受力,1
706,受力,1
707,fudsnd,1
708,燃起,21
709,与,97
710,最好,74
711,线,38
712,商职,1
713,黑马,2
714,所有,32
715,考生,64
716,636,1
717,中国政法大学,11
718,没有,563
719,有错,11
720,～,151
721,大中,1
722,于,19
723,文化,65
724,46,1
725,想去,9
726,今年,38
727,喜欢,396
728,看错,4
729,晚自习,3
730,自习,7
731,到,293
732,10,76
733,记得,66
734,陕西,9
735,伟人,2
736,说,1057
737,过,403
738,敢于,4
739,敢于胜利,1
740,胜利,4
741,江苏,59
742,佛学,2
743,佛学院,1
744,空军,1
745,空大,1
746,668,1
747,猫猫,3
748,百三,5
749,学上,9
750,史莱姆,1
751,莱姆,1
752,霍,8
753,格沃兹,2
754,魔法,28
755,法学,5
756,法学院,1
757,632,1
758,普洱,1
759,市,2
760,565,1
761,抗压,1
762,南昌,2
763,南昌大学,2
764,分清,5
765,本分,2
766,分数,18
767,分数线,3
768,数线,3
769,623,2
770,710,1
771,中国海,5
772,尽人事,1
773,人事,2
774,听,342
775,天命,1
776,东海,1
777,490,1
778,消防,1
779,救援,1
780,湖,9
781,别的,36
782,更好,58
783,建议,76
784,临沂,3
785,270,2
786,升,20
787,250,3
788,福州大学,1
789,华中师范大学,1
790,中师,2
791,同事,4
792,十二,10
793,十二年,1
794,二年,14
795,寒窗,1
796,苦读,1
797,怎,2
798,甘心,1
799,成为,39
800,别人,113
801,陪,10
802,跑,59
803,n,59
804,单兵,1
805,综合,6
806,合作,1
807,作战,9
808,水平,76
809,历史,114
810,化学,119
811,学政,1
812,政治,33
813,组合,7
814,b,100
815,安徽,17
816,安徽大学,1
817,675,1
818,华东师范大学,2
819,北医,1
820,华中科技,4
821,华中科技大学,4
822,500500,1
823,611,1
824,642,1
825,h,25
826,！?,1
827,背景,28
828,背景音乐,7
829,小心,6
830,心思,4
831,恶,2
832,还是,256
833,茴香,3
834,茴香豆,3
835,茴,3
836,字,90
837,四种,9
838,写法,9
839,觉得,305
840,初中,227
841,课文,4
842,康,59
843,Maria,1
844,用,473
845,英式,77
846,外国人,28
847,人学,17
848,粤语,35
849,对不起,41
850,瓜子,2
851,笑,313
852,掉,21
853,知道,349
854,美国,85
855,哦,233
856,再见,36
857,美式,51
858,美式英语,8
859,街,2
