,词语,次数
0,个,599
1,泡,9
2,承不承认,1
3,承认,15
4,不,1959
5,影响,46
6,他们,210
7,飞,54
8,英国,59
9,好家伙,206
10,家伙,209
11,真会,5
12,会计,5
13,计算,13
14,BBC,1
15,一样,268
16,可以,548
17,自由,47
18,自由自在,1
19,自在,2
20,在编,2
21,新闻,20
22,呵呵,183
23,堂姐,1
24,留学,17
25,国一,13
26,一年,107
27,花费,1
28,50,91
29,万,290
30,赶紧,71
31,滚,44
32,大,374
33,婴,2
34,弟,2
35,国,55
36,李嘉诚,8
37,是,3746
38,加拿,15
39,加拿大,15
40,加拿大籍,1
41,我们,449
42,反正,49
43,认,11
44,要,607
45,自己,360
46,2,883
47,36,6
48,心,50
49,瞎,25
50,人,842
51,中国,467
52,这,1587
53,一届,1
54,强,128
55,一匹,2
56,听闻,1
57,有,1398
58,很多,146
59,香港,17
60,港人,1
61,已经,287
62,经打,1
63,打算,17
64,移民,15
65,趁早,3
66,什么,762
67,四两,2
68,四两拨千斤,2
69,两拨,2
70,拨千斤,2
71,千斤,3
72,菜,130
73,上桌,1
74,之前,57
75,直接,209
76,掀,15
77,桌,3
78,板,7
79,。。,119
80,马上,30
81,瓦,1
82,姐,13
83,讲,130
84,笑话,29
85,为什么,159
86,这么,386
87,多,731
88,还,982
89,去,708
90,任贤齐,1
91,难办,1
92,那,529
93,就,1880
94,别办,1
95,啦,99
96,开,93
97,餐馆,2
98,洗盘,1
99,盘子,4
100,想,379
101,赚,262
102,钱,616
103,就要,31
104,对,371
105,好,1549
106,一天,84
107,一天到晚,2
108,跳,23
109,脸,46
110,赚钱,120
111,乌烟瘴气,1
112,烟瘴,1
113,瘴气,1
114,干,181
115,漂亮,126
116,咱们,23
117,不够,69
118,得,330
119,强到,1
120,让,227
121,世界,168
122,侧目,1
123,才能,43
124,认识,23
125,到,226
126,强大,6
127,起来,207
128,250,4
129,没想,20
130,过,333
131,留人,2
132,说,1054
133,不知,153
134,知道,359
135,那个,130
136,香港回归,1
137,回归,9
138,时候,315
139,和,557
140,国商,2
141,商定,2
142,事情,27
143,都,2078
144,国人,117
145,艰苦,1
146,艰苦奋斗,1
147,奋斗,22
148,得来,2
149,并,57
150,不容,17
151,容易,43
152,啊,1756
153,还有,226
154,霍,2
155,格,8
156,华,33
157,兹,3
158,呢,607
159,怕,74
160,你,2453
161,哈哈,6053
162,哈哈哈,4558
163,哈哈哈哈,3273
164,房地,95
165,房地产,95
166,地产,103
167,6,110
168,.,693
169,5,165
170,还算,12
