,词语,次数
0,知识,364
1,掌握,44
2,掌握情况,1
3,情况,168
4,640,14
5,620,27
6,中山,31
7,中山大学,21
8,山大,32
9,大学,1088
10,550,35
11,兰州,21
12,兰州大学,5
13,耐心,16
14,吧,5784
15,考,690
16,分,359
17,以上,160
18,一模一样,143
19,一样,1462
20,哈哈,98993
21,北大,109
22,北大考,2
23,大考,6
24,考古,24
25,考古系,3
26,其实,591
27,实是,201
28,中考,66
29,600,91
30,福州,13
31,师范,58
32,师范大学,34
33,给,2838
34,自己,3756
35,加油,1296
36,冲冲,217
37,635,5
38,哈工大,10
39,工大,44
40,国防,16
41,国防科,10
42,科大,37
43,560,17
44,669,1
45,450,14
46,西南,33
47,西南政法大学,7
48,政法,31
49,政法大,22
50,政法大学,22
51, ,35616
52,580,38
53,又,1524
54,要,3378
55,马儿,7
56,马儿跑,2
57,还要,220
58,不吃,167
59,草,1589
60,650,28
61,那,3259
62,必须,331
63,啊,11608
64,员额,1
65,考试,308
66,试考,8
67,第一,911
68,520,22
69,120,57
70,700,35
71,＋,26
72,清,113
73,北,94
74,呜呜,918
75,厦门,49
76,厦门大学,27
77,680,16
78,东北,231
79,东北师范大学,1
80,北师,23
81,高平,2
82,平一,2
83,一中,35
84,也,6793
85,是,21372
86,杭,4
87,师大,34
88,等,450
89,!!!,73
90,浙江,94
91,音乐,211
92,生,786
93,杭州,39
94,真的,3068
95,北京,272
96,北京大学,12
97,370,2
98,645,7
99,清华,262
100,清华大学,46
101,华大,76
102,安,158
103,大,1978
104,中国,1663
105,中国传媒,17
106,传媒,23
107,传媒大学,15
108,500,158
109,629,1
110,赞成,10
111,现在,1979
112,都,9430
113,不,8452
114,追求,29
115,写上去,3
116,上去,190
117,好看,941
118,什么,4942
119,只要,303
120,你,14059
121,做,2115
122,会,3099
123,管,260
124,他,2900
125,错题,44
126,本,262
127,美不美,3
128,济南,27
129,南大,45
130,哈尔,61
131,哈尔滨,61
132,哈尔滨理工大学,1
133,理工,62
134,理工大,14
135,理工大学,14
136,480,19
137,华东,12
138,华东政法,3
139,670,11
140,上海,277
141,上海财经大学,4
142,财经,17
143,财经大学,5
144,666,532
145,630,20
146,北邮,4
147,努力,236
148,和,2687
149,心态,101
150,电子,76
151,电子科,10
152,电子科技,7
153,科技,195
154,谢谢,1530
155,华金,1
156,金融,124
157,金融系,1
158,若,30
159,乾坤,7
160,已定,4
161,那么,828
162,就,10133
163,扭转,11
164,扭转乾坤,3
165,！！！,1710
166,610,9
167,贵州,18
168,贵州大学,1
169,510,7
170,运气,63
171,江城,1
172,院,14
173,好,9698
174,！！！！！,257
175,人生,177
176,太短,20
177,干的事,8
178,太多,289
179,争分夺秒,1
180,坚持,155
181,数学,442
182,数学系,5
183,学系,13
184,中南,11
185,中国人民大学,27
186,国人,712
187,人民,382
188,人民大学,27
189,420,7
190,江南,14
191,615,2
192,湖北,44
193,上海大学,4
194,海大,6
195,两个,481
196,爹,111
197,啊哈,394
198,哈哈哈,80695
199,哈哈哈哈,63755
200,武大,25
201,成都,56
202,师范学院,2
203,学院,139
204,华美,5
205,美院,15
206,研究,232
207,研究生,79
208,！！！！,464
209,570,16
210,福建,141
211,医科,14
212,医科大,12
213,医科大学,9
214,300,79
215,598,4
216,哈佛,33
217,海外,18
218,外国,240
219,外国语,19
220,国语,30
221,五百,38
222,天津,150
223,天津师范大学,1
224,400,38
