,弹幕
194,二氧化氮与水反应生成一氧化氮与硝酸
195,woc这银镜太成功了吧我们老师做的时候只有黑色银颗粒
196,大爱化学
197,？
198,sos
199,文科生想学理系列
200,化学科代表报到
201,说反了
202,乙炔燃烧有黑烟
203,理科生大军降临
204,是浮溶游响红吧
205,哇
206,丁达尔效应
207,我一个学历生地的来看这个干嘛
208,我想看用试管装着氢氟酸的实验
209,文科生为什么进来了
210,爱了爱了
211,！还能直接喷枪！我们水浴超慢哈哈哈哈
212,看起来挺刺激
213,利好
214,铝热呢！！！
215,燃起来了
216,血红色，老师说就像暴力视频的血腥场面一样
217,成本极高
218,没选化学
219,这里注意不是沉淀！
220,比      博       燃
221,高一新生前来报道
222,是什么促使我点进这个视频的
223,物生地来卖卖呆儿
224,高级
225,化学不考九十对不起这个视频
226,爱上化学了
227,我决定了，我爱上滑下来
228,文科生报道
229,bbr
230,用镁做鞭炮
231,爷青回
232,学校不让做实验，只能来看视频了
233,这里钾其实是紫色只应该透过蓝色钴玻璃观察去除黄色干扰
234,分分钟爱上化学系列
235,呵呵哈哈哈
236,为什么我学的时候不是这样的
237,进我收藏夹吃灰吧！
238,SOS AVICII
239,化学yyds
240,比博燃系列
241,可逆反应噢！
242,不比博燃
243,卐卍
244,sos
245,点开以后突然发现，我学的文科
246,我想看看酒精喷灯
247,比博燃
248,BGM好评！！
249,问题来了，焰色反应是物理变化（√orx）
250,浮溶游响红
251,比博燃
252,也可以答成，氧化反应
253,唯一一个0.5倍速看的视频
254,◢ ◤
255,铀的反应不是化学哦，是核学
256,楼上错了吧铝离子和铵根离子怎么双水解两个都要氢氧根离子
257,作为学化学工艺的学生，这个很棒！
258,这钡明明是柠檬黄
259,斐林试剂检验还原糖竟然还能这么操作
260,⊙∀⊙！
261,梦开始的地方
262,反应物的浓度不同，产物不同，分别为一氧化氮和二氧化氮
263,电子跃迁到不同的能层会发射出光谱
264,氨气极易溶于水，呈碱性并使瓶内压强变小
265,结论应该是，铝离子和铵根离子会发生双水解，产生沉淀
266,化学不是水浴加热，是直接加热把？
267,avicii
268,我看了个寂寞
269,比博燃
270,这俩反应指示剂没关系
271,avicii诶
272,化学课代表默默点进来
273,化学课代表↑
274,铝热铝热铝热铝热铝热
275,爷青回
276,wonderful
277,Fe表示在下输了
278,Na2SO4+Bacl2=Nacl+BaSO4
279,我永远喜欢化学！
280,必修一
281,我会好好学的
282,燃起来了
283,浮熔游响红
284,感谢蓝字
285,要0.5看
286,生物老师看了表示很干
287,我一个不学化学的看的还挺起劲
288,物生地路过
289,化学，老子爱你！
290,铝热yyds
291,氧化铝薄膜
292,博人：这比我燃多了
293,我爱化学
294,白色变成灰绿色再变红褐色
295,60帧的实验爱了鸭！
296,铁丝在氧气中剧烈燃烧，火星四溅
297,写成化学式好不好鸭
298,建议写成化学方程式啊
299,好家伙比博燃
300,圣光
301,圣光
302,高考加油！
303,高中化学实验室？你难道不知道那玩意是用来做样子的吗
304,文科生前来参观
305,期待铝热
306,浮熔游响红
307,这是什么反应瓶子里的液体是什么
308,这不是初三的嘛
309,我化学必乱杀
310,生成质密的氧化膜【氧化铝
311,不配去实验室但想看实验的文科生狂喜
312,文科生慕了！
313,05倍速
314,文科生路过
315,收藏大于赞系列
316,三颈烧瓶
317,呐，要与水反应了呦
318,这个是络合反应
319,铝能和酸和碱同时反应氧化铝是两性氧化物
320,啊…A神好评
321,棒棒的
322,理化生来报道
323,丁达尔效应出现的时候，光便有了形状。
324,音乐好评
325,sos！
326,比博燃
327,Avicii的SOS！！！最爱
328,看着爽，学起来可一点都不爽
329,我一物政史怎么进来了？
330,爱了爱了
331,好怀念
332,I don't need my ****
333,I don't need my ****
334,I don't need my ****
335,比博燃
336,铝热反应必须要来
337,看了你的视频我觉得还能爱化学
338,记住是隔水加热
339,好棒啊
340,文科生看热闹
341,文科生看到津津有味
342,这中和热为啥不保温啊
343,答案是右试管里溶有NO2
344,你答对了吗？
345,同学们想一想这是为什么，两个实验里溶液颜色不同?
346,稀硫酸跟铜不反应
347,Thermite Thermite Thermite Thermite Thermite Thermite Thermite
348,跟不上节奏的同学建议开0.75倍速
349,碳酸钠起飞！
350,avicii Forever
351,第一遍建议0.5倍速
352,黄色实验解释字幕组已施工完毕
353,老子就是要学化学！
354,红色方程式字幕组已施工完毕
355,蓝色歌词字幕组已施工完毕
356,浮游熔响红
357,Help me put my mind to rest
358,为啥瓶底不放水吸二氧化硫
359,Can you hear me SOS
360,"More than,yeah,more than,more than lovers"
361,We could be....
362,Avicii Forever◢ ◤◢ ◤◢ ◤
363,I can feel your touch picking me up from the underground
364,I can feel your touch picking me up from the underground
365,I can feel your love pulling me up from the underground
366,"Yeah,I don't know how but I need to now"
367,I'd let go but I don't know how
368,I get robbed of all my sleep
369,We could be more than just part time lovers
370,We could be more than just part time lovers
371,I can feel your touch picking me up from the underground
372,We could be more than just part time lovers
373,I can feel your love pulling me up from the underground
374,A pound of *** and a bag of blow
375,Two times clear again I'm acting low
376,Help me put my mind to rest
377,Can you hear me SOS
378,Help me put my mind to rest
379,SOS~
380,SOS~
381,SOS~
382,我想看铝热反应
383,银氨溶液在葡萄糖作用下生成一层银单质
384,苯酚与浓溴水反应生成白色沉淀三溴苯酚
385,马老师，等我五年！
386,苯酚钠又与盐酸反应生成回不易溶解的苯酚
387,苯酚在水中溶解度不大，加氢氧化钠后生成了易溶的苯酚钠
388,新制氢氧化铜与还原糖反应生成砖红色沉淀
389,乙醇在灼热的铜片作用下催化氧化为乙醛
390,钠与无水乙醇反应较慢
391,静候铝热
392,苯酚与三价铁离子发生显色反应
393,高温条件↓，铝粉与氧化铁发生剧烈的铝热反应
394,乙烯/乙炔不完全燃烧有黑烟产生
395,甲烷与氯气在光照条件下发生一系列的取代反应
396,氢氧化铁比氢氧化镁更难溶，发生沉淀转化
397,酸碱中和滴定，滴定终点指示剂变色
398,盐酸酸性比碳酸强，释放二氧化碳(强酸制弱酸原理)
399,硼酸酸性比碳酸弱，不能产生二氧化碳
400,王水有极强腐蚀性
401,所以电子温度计示数升高
402,中和反应会放热
403,稀硝酸与浓硝酸跟铜反应分别生成一氧化氮和二氧化氮
404,稀硫酸不与铜反应，浓硫酸与铜反应生成二氧化硫
405,电解硫酸铜溶液，阳极析出氧气，阴极析出铜
406,锌与硫酸铜发生原电池间的置换反应产生电压
407,亚硫酸可以漂白品红溶液，加热时会恢复
408,硫在氧气中燃烧发出蓝紫色火焰
409,4.氢气在氯气中燃烧产生苍白色火焰
410,3.铜在氯气中燃烧产生黄色的烟
411,2.铁丝在氯气中燃烧产生棕红色的烟
412,1.钠在氯气中燃烧产生白色的烟
413,氯气可以漂白湿润的纸条
414,浓盐酸与二氧化锰反应生成氯气
415,铝热yyds
416,写化学式呀，汉字看着不得劲
417,铝热，永远的神!
418,bgm升调了
419,老师说现在不考这个
420,谢谢，你是个好人
421,铝热呢
422,lure
423,枫叶荻花秋瑟瑟，硫氢化铁血红色。
424,课代表呢
425,Na2SO4+BaCl2=NaCl+BaSO4↓
426,FeCl2+2NaOH=Fe(OH)2↓+2NaCl;
427,AgNO3+NaCl=AgCl↓+NaNO3
428,这里好美！
429,FeCl3+KSCN=Fe(SCN)3(血红色)+KCl
430,Fe+HCl=FeCl2+H2
431,3Fe+2O2=(点燃)Fe3O4
432,NH3+HCl=NH4Cl
433,这里应该是为了剪辑，所以用了可以快速得到现象的火焰加热法
434,对，一个是为了安全，水浴受热均匀，同时缓慢进行方便同学们记录现象
435,实验是互通的～不会特别明确，因为这些基本都是，常识
436,突然后悔了
437,我
438,这个主要是指示剂显色嗷，可以看选六的第一个实验
439,丁达尔效应出现的时候 光就有了形状 ——稚楚
440,众所周知，博人传是不可燃物
441,收藏比点赞多系列
442,还差碘钟反应
443,CuSO4➕H2O＝电解 H2SO4➕Cu
444,2Al+Fe2O3=(高温)2Fe+Al2O3
445,CH2=CH2+Br2→CH2BrCH2Br
446,CH2=CH2→(KMnO4)CO2+H2O
447,HCl(aq)+NaOH(aq)=NaCl(aq)+H2O(l)△H=-57.3KJ/mol
448,2H2SO4(浓)+Cu=CuSO4+SO2↑+2H2O
449,Zn+CuSO4==ZnSO4+Cu
450,S+O2=(点燃)SO2
451,2Fe+3Cl2=(点燃)2FeCl3;H2+Cl2=(点燃)2HCl
452,2Na+Cl2=(点燃)2NaCl;Cu+Cl2=(点燃)CuCl2;
453,NH3+H2O=NH3·H2O
454,3Fe+2O2=(点燃)Fe3O4
455,2Na+O2=(△)Na2O2
456,NH3+HCl=NH4Cl
457,H2+Cl2=(光照)2HCl
458,H2+Cl2=(光照)2HCl
459,2Na+2H2O=2NaOH+H2↑
460,FeCl3+3KSCN=Fe(SCN)3+3KCl
461,2Mg+O2=(点燃)2MgO
462,3Fe+4H2O(g)=(高温)Fe3O4+4H2
463,浮溶游响红
464,这难道不必博人传燃?
465,浮溶游响红
466,燃起来了
467,比博燃
468,如果将浓盐酸和浓硝酸按照三比一的话就是反王水
469,化学还看实验？直接背就行
470,是我没做过的实验
471,加成反应
472,别人水浴加热，你直接喷火，真TM猛
473,这是生物了
474,BGM:SOS
475,这也能燃
476,C2H2
477,最恶心酸碱中和滴定
478,铝和氢氧化钠反应生成偏铝酸钠
479,吕热是神，一直学的高考的！
480,铝热，yyds
481,文科生来康康
482,杂质
483,汉字换成化学式不香嘛
484,太漂亮了
485,我高一，大部分都学了
486,钫加水起飞
487,好看是好看，但是化学课没那么    唉
488,化学
489,0.75倍看真是好啊
490,这不比博人传燃？
491,啊这收藏量
492,是银氨溶液
493,用了磁力搅拌器 
494,给我激动地干了一张卷子
495,俩性实验
496,SOS!Avicii Forever!
497,历生政等等我我也是历生政
498,文科生前排围观
499,化学震荡，超有意思
500,不是王水腐蚀金吗？金呢（doge)
501,前方高燃
502,Avicii
503,化学我决定爱你一次！
504,安吧GIAO~
505,Avicii
506,这个新教材改了叫焰色试验
507,我看不过来了
508,高一上漏了偏二甲肼和四氧化二氮[狗头]
509,检验三价铁！
510,大学毕业的我前来复习
511,我不叫喂
512,avicii好评
513,铝热反应！！
514,焰色试验
515,淡黄色固体
516,浮游熔响红
517,美丽的化学
518,前方高能
519,虽然学过依然懵逼……
520,卧槽牛逼
521,SOS
522,丁达尔效应，你币有了
523,比  博  然
524,在b站学化学……
525,666
526,我一个不选化学的来看看
527,我就是来看铝热的
528,好的我瞎了
529,nb
530,生物必修一   化学必修二的交集
531,选  修  四
532,真比博燃
533,wc
534,化学不爱我呀
535,王水是浓盐酸和浓硝酸按体积比为3：1组成的混合物
536,Avicii  ！！
537,sos！！！
538,欢迎来到有机化学
539,666666
540,我来预习
541,加上反应方程式就完美了
542,这不比博人传燃？
543,阴间反应
544,不行了我眼睛看不过来了……
545,化铝箔是为了证明它的氧化膜比单质耐高温
546,欢迎收看：比博燃
547,前方高能
548,前方高能
549,前方高能
550,daisuke
551,黄字牛逼啊
552,我永远喜欢化学！！！
553,哇
554,初中生前来预习
555,化学，我爱你！
556,变为氢氧化铁不应该时候的吗?
557,比博燃
558,比博燃
559,选他选他
560,选它
561,博人转:我燃起来了
562,SOS！
563,在看的都是学霸
564,空瓶生烟是氨气和氯气反应生成氯化铵
565,空瓶生烟：NH4CL
566,比博燃
567,本尼迪特
568,钝化
569,原电池
570,系数14122
571,铝热反应，yyds
572, 铝＋盐酸必修一的，不是初中的的
573,AVICII
574,第一万个收藏
575,实际上铝片可以燃烧
576,铝热永远的神
577,avicii
578,SoS 
579,Aviciiyyds
580,双厨狂喜
581,化学我爱你
582,见鬼的我没学化学
583,水浴加热？
584,初中学这？开什么玩笑
585,高一实验室偷偷试过
586,画
587,芙蓉又想红
588,好耀眼
589,博人：好好好，什么都比我燃
590,化学，永远滴神
591,我爱化学
592,八省联考
593,BGM:SOS
594,拿镊子的手很烫罢？
595,铝热反应我们班的电脑被烧了
596,一氧化氮和氧气反应生成棕红色的二氧化氮
597,在等铝热
598,这不比博人传热血
599,比博燃
600,焰色反应不是化学反应
601,氨气和氯化氢？
602,比博燃
603,我也不知道我一个大一的点进来干嘛哈哈哈
604,ACIVII！！！
605,三千焱炎火！
606,前方铝热高能！
607,葡萄糖+氯化银
608,有机化合物点燃冒黑烟
609,加 成 反 应
610,取 代 反 应
611,天降氮肥
612,浮熔游响红
613,想看钫在水里的实验（doge）
614,这不比博人传热血？？？？？？？
615,去我收藏夹里吃灰吧
616,火钳刘明
617,然而我并没有选化学
618,铝热，永远的神！！
619,铝热，永远的神！！
620,这样测中和热误差太大
621,博人传：我懂
622,Avicii
623,鲁米诺
624,原来我离开高中已经这么久了
625,ohhhhhhhhhhhhhhh
626,ohhhhhhhhhhh
627,好家伙
628,喜欢上化学就是从这些神奇的许多的化学实验
629,彩票失败
630,等等，我一历生政的为什么点进来了!
631,7
632,比博燃
633,bgm好评
634,下学期化学上八十
635,hhh
636,电子跃迁
637,铝热牛壁
638,收藏比赞多
639,这么奢侈？？？
640,白嫖失败
641,hy我爱你
642,三连了
643,哈哈哈哈哈哈我大一
644,哈哈哈哈哈
645,这不比博人转燃
646,剧烈燃烧，放出热量，发出耀眼的白光
647,我觉得应该写化学式不应该写物质名称，反应不过来
648,比博燃
649,我淦
650,我高一偷过化学老师的镁条在班里烧过（doge）
651,好想把汉字变成化学式啊
652,亮瞎我的眼
653,来个铝热呗
654,丁达尔效应出现的时候，光就有了形状
655,燃起来了
656,学校里有化学老师做铝热把教桌烧穿了
657,这就是彩蛋吗
658,铝热还原
659,好喜欢丁达尔效应
660,表白黄字菌
661,最搞人心态的酸碱滴定
662,喂，这是高中化学实验
663,A1高闪来一个好吗，秋梨膏！
664,化学，我爱你
665,融而不滴
666,化学，我爱你
667,化学，我爱你
668,化学，我爱你
