,µ¯Ä»³öÏÖÊ±¼ä,µ¯Ä»Ä£Ê½,µ¯Ä»×ÖÌå´óÐ¡,µ¯Ä»Ê®Áù½øÖÆÑÕÉ«,µ¯Ä»³Ø(0ÎªÆÕÍ¨³Ø£¬1Îª×ÖÄ»³Ø£¬2ÎªÌØÊâ³Ø),µ¯Ä»·¢ËÍÕß¼ÓÃÜid,µ¯Ä»id,µ¯Ä»ÄÚÈÝ
1,17.10400,¹ö¶¯µ¯Ä»,25,0xffffff,0,3b7293ac,46694633669394437,1
2,13.34100,¹ö¶¯µ¯Ä»,25,0xffffff,0,e215adb6,46693164333924359,1
3,12.11000,¹ö¶¯µ¯Ä»,25,0xffffff,0,8795f358,46692586134962181,1
4,405.99300,¹ö¶¯µ¯Ä»,25,0xffffff,0,ca24bcd4,46689767152680963,â§²»¼°·À
5,13.15900,¹ö¶¯µ¯Ä»,25,0xffffff,0,ea823ce5,46679058415616007,2
6,132.53300,¹ö¶¯µ¯Ä»,25,0xffffff,0,3dafbc13,46678892608487427,ËÀ¹óÀÃ¹ó£¬Ò²Ã»¾õµÃ¶àºÃºÈÕâÍæÒâ
7,13.73900,¹ö¶¯µ¯Ä»,25,0xffffff,0,e5b2c8b,46678125395836931,2
8,9.82300,¹ö¶¯µ¯Ä»,25,0xffffff,0,805c1a98,46676106433527813,0
9,22.78500,¹ö¶¯µ¯Ä»,25,0xffffff,0,698c4c0d,46676075269849091,1
10,11.03000,¹ö¶¯µ¯Ä»,25,0xffffff,0,4eb36bc,46673657724403719,1
11,11.91500,¹ö¶¯µ¯Ä»,25,0xffffff,0,49974345,46673300209270789,2
12,12.61300,¹ö¶¯µ¯Ä»,25,0xffffff,0,6c7a3cdf,46671926179921923,111111
13,9.98100,¹ö¶¯µ¯Ä»,25,0xffffff,0,ae891d91,46671795608616963,1
14,12.54200,¹ö¶¯µ¯Ä»,25,0xffffff,0,9e80ce0,46670074167164935,1
15,16.00400,¹ö¶¯µ¯Ä»,25,0xffffff,0,cd11acea,46668126935842821,1
16,24.65300,¹ö¶¯µ¯Ä»,25,0xffffff,0,3b061627,46665572979048453,1111
17,8.72400,¹ö¶¯µ¯Ä»,25,0xffffff,0,7a395d3f,46664742763757571,0
18,17.57800,¹ö¶¯µ¯Ä»,25,0xffffff,0,94a81520,46664737104068613,2
19,13.20200,¹ö¶¯µ¯Ä»,25,0xffffff,0,b3b2d53d,46663638429728775,2
20,13.84300,¹ö¶¯µ¯Ä»,25,0xffffff,0,fb675cbd,46662510604976133,1
21,17.82000,¹ö¶¯µ¯Ä»,25,0xffffff,0,c808abb9,46661920750043139,222
22,131.67400,¹ö¶¯µ¯Ä»,25,0xffffff,0,c15724e6,46660674115862535,²»ºÃºÈ
23,79.73300,¹ö¶¯µ¯Ä»,25,0xffffff,0,92bdbcdd,46660314050592773,¹þ¹þ¹þ¹þ¹þ¹þ¹þ¹þ¹þ¹þ»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò»ò
24,14.77400,¹ö¶¯µ¯Ä»,25,0xffffff,0,bdf92c7f,46656977026678791,1
