,弹幕
253,啊啊啊爱了爱了
254,好棒棒啊！
255,我现在不打算了解了
256,好棒！！！
257,想起了vary
258,建筑学路过
259,笑死了
260,(⊙o⊙)哇好看啦
261,渲染就是…特别费电脑
262,细节恐惧症做这就快死了。
263,好可爱！！！！
264,笑得我头方了…
265,哈哈哈哈哈哈哈哈哈哈哈
266,oh早了
267,哈哈哈哈哈哈哈
268,哈哈哈哈哈哈哈
269,哈哈哈哈老MMD人深觉熟悉
270,6666
271,真的很痛苦信学的时候要想好再学
272,感觉好棒啊
273,ohhhhhhhhhhhhhhhhhh
274,感觉和犀牛差不多
275,ohhhhhhhhhhh
276,哈哈哈哈哈
277,哈哈哈哈哈哈
278,ohhhhhhhhhhhhhhhhhhhh  nb
279,果然，2D和3D都是头发难做，哈哈
280,核成？？？？？？？？
281,cpu爆炸
282,显卡爆炸
283,完善亿下
284,《亿 顿 操 作》
285,用作者的头发换角色的头发
286,好难
287,好看嘢
288,妈呀，看着就觉得辛苦
289,这发量不是我的吗？！呜呜呜
290,妈   呀
291,佩服斗罗大陆
292,正片开始！
293,正片开始！！
294,！正片开始
295,！正片开始！
296,！！正片开始！
297,！！正片开始！！
298,正片开始！！！
299,！正片开始！！！
300,！！正片开始！！！
301,！！！正片开始
302,！！！正片开始！
303,！！！正片开始！！
304,哈哈哈哈哈哈
305,正片开始？
306,Ohhhhhhhhhhhhhhhhh
307,ohhhhhhhhhhhhhhhhhhh
308,辛苦
309,哈哈哈哈哈哈哈哈
310,厉害！
311,《不专业》
312,噫好难
313,wow
314,噫哈哈哈哈
315,好好看！！！
316,汉子
317,hhhhhhhh
318,混入了奇怪的东西
319,ohhhhhhhhhhh
320,ohhhhhhhhhhhhh
321,美女！！！
322,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
323,这一步简直是以物换物
324,没保存（doge）
325,好棒
326,bgm是Not angry 
327,强强强
328,ohhhhhhh
329,nukecai
330,bgm
331,woc好看！！！！！
332,厉害了
333,百万助攻
334,突然鬼畜
335,好家伙！
336,哈哈哈哈哈哈哈
337,哈哈哈哈哈哈
338,明白了。。。我先去学画画了
339,《动画可以接地气，但是不可以接地府》
340,这歌叫啥，我也想听
341,就是死机
342,2d动画真的非常耗人力物力财力
343,这小胳膊细腿的
344,？？不吧，没常识的人也知道是建模加动作
345,哈哈哈哈哈
346,魔法时刻
347,正片开始
348,C4d也可以
349,我也想叫自家闺女学习
350,哈哈哈哈
351,哈哈哈哈哈
352,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
353,生发大师
354,好历害
355,太强了
356,哦哦哦哦哦哦哦哦哦哦哦哦哦
357,是个人才
358,牛逼
359,求bgm
360,厉害
361,好看的！
362,哈哈哈哈哈哈哈哈
363,好不简单
364,我下在学校电脑上的忘记问老师要了
365,这个骨骼绑定的软件我们学校好像教过诶
366,辛苦了辛苦了，我再也不催更了
367,绝美
368,阿。。天哪
369,求这段bgm
370,Ohhhhhhhhhhhhhhhhhhh
371,丧尸
372,看完后我觉得自己啥也不是
373,blender我要用来做了
374,空降成功
375,屁股不翘
376,up主是东北人儿吗
377,合成
378,渲染进程
379,哈哈哈
380,最难的来了
381,刷权重
382,以前真的没有
383,K帧才是头
384,搞动画才难啊
385,ohhhhh
386,ohhhhh
387,哈哈哈哈哈腿好长
388,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
389,卧槽美女
390,哈哈哈哈哈哈
391,哈哈哈哈哈
392,原来做3D动画是这么个大工程
393,tqllll
394,我看见那个Auto闪退页面心情都不好了
395,hhhhhhhhhh
396,辛苦了
397,函数图
398,666
399,hhhhhhhhhhhhhhhh
400,好好看啊！
401,好难啊，好辛苦
402,哈哈哈哈哈哈啊哈哈哈
403,太牛了！！
404,你好棒呜呜
405,pr就搞死我了
406,渲染之后才知道自己没有做无用功
407,渲染！
408,混入了奇怪的东西QWQ
409,我突然想到天谕里面人物设定的头发
410,啊这！必须三连
411,艾莎的头发…
412,牛壁了
413,ohhhhhhhhhhhhhhh
414,我用的是ae
415,这个我会
416,好家伙。透视图
417,哈哈哈哈哈哈哈哈
418,好美
419,哈哈哈哈哈哈哈哈
420,前方高能
421,。。。。
422,哈哈哈哈哈哈
423,小仙女
424,居然能推动？
425,bgm是我起床铃哎
426,我笑着哭来着
427,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
428,我擦擦擦擦擦擦擦擦擦擦擦擦擦擦，牛壁！！！！！
429,ohhhhhhhh
430,来了！
431,ohhhhhhhhhhhhhhhhhhhh
432,为了安nuke我的电脑遭遇了无数次重装
433,吓吓，又被谢到
434,ohhhhhhhhhhhhhhhhhhhhhhhh
435,我学二维去了
436,哈哈哈哈哈哈哈哈哈哈哈哈
437,美系脸
438,绘画参考的小人……
439,要高配……
440,z？
441,厉害
442,动漫专业半年的学生表示，确实还行
443,这是僵尸新娘
444,很棒！
445,来了来了！
446,ohhhhh
447,ohh
448,hhh
449,好看
450,哈哈哈哈哈哈又心疼又想笑
451,ohhhhhhhhhhh
452,《真·头发换头发》
453,这个不就是
454,还有配音哈哈
455,好厉害！
456,ohhhhh
457,袜！美女
458,哈哈哈哈哈哈
459,估计是音效的问题，这里加点座子的音效会感觉更真实
460,好厉害！！！
461,好历害
462,我爸问我为什么趴着看手机
463,ohhhhhhhhhhhhhhh
464,你啥？作业是什么？能吃吗？
465,哈哈哈哈哈哈哈哈哈哈哈哈
466,哈哈哈哈哈哈哈哈哈
467,哈哈哈哈哈哈哈哈哈
468,太厉害了！
469,欸嘿
470,哈哈哈崩了
471,up主，我查了一下，previs是预演，唐探2里拨楼那个片段就运用这个了（好像）
472,看完这个，我终于下一决心了：还是特么的好好建模吧，别想那么多了，你干不了。。。。。。
473,哈哈哈哈 渲染真是好东西
474,太难了太难了
475,ohhhhhhhhhh
476,ohhhhhhhhh
477,25秒
478,这比数学还头疼 
479,原神太难了
480,哈哈哈
481,作者好好笑
482,记得时不时保存一下，哭了
483,有点秃
484,Low poly
485,哇做了这一点还费了一半个月那迪士尼岂不是……
486,辛苦了
487,哈哈哈哈哈哈
488,加油
489,像地磁场出了问题
490,辛苦了
491,大长腿
492,好可爱啊
493,权重都是泪，怎么刷都不对
494,好难对正要学的我来说。跪了
495,电脑好，我的机子一帧都不行
496,已经开始烦躁
497,真细
498,我理解菊花眼了
499,电脑飞起来
500,好像每一部都是恐怖的
501,ohhhhhhhhhhhh
502,？？？？？？
503,白嫖失败
504,牛爷爷!!!
505,《寻梦环游记》
506,《冰雪奇缘》
507,动画不难，权重刷死
508,动画nuba
509,大  佬  级  别
510,前方高能！！！
511,虚晃一枪
512,见证奇迹的时刻！！
513,眼睛瞪的像铜铃
514,好美！！！！
515,停一下，各位都别oh了，等一下再oh
516,啊！啊！这是雷锋嘛？！！
517,好美（绝
518,美女啊啊啊啊啊啊啊啊
519,“不擅长”
520,九分钟 我估计看不完
521,ohhhhhhhhhh
522,ohhhhhhhh
523,哈哈哈哈哈哈哈
524,ohhhhhhhhhhhhhhhhhhhhh！
525,厉害
526,哈哈哈
527,学医的+1
528,动画不错
529,听up主说话听出了心累的感觉哈哈哈
530,刷权重
531,哈哈哈哈哈插件来了
532,ohhhhhhhhhhh
533,好牛
534,好看
535,太牛逼啦
536,ohhhhhhhhhhhh
537,泡芙小姐？
538,妈呀
539,好吓人
540,哈哈哈哈哈哈x-gen 谁用谁秃头
541,ohhhhhhhhhhhhh
542,ohhhhhhhhhhh
543,666
544,看哭了 莫名！
545,好活
546,太强了
547,好美啊
548,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
549,哈哈哈哈哈哈哈哈哈哈
550,哈哈哈哈哈哈哈哈哈哈哈
551,漂亮
552,Ohhhhhhhhhhhhhhh
553,泪目
554,想起了被maya 支配的那些日子
555,刷权重……
556,哈哈哈哈哈哈哈哈哈哈哈哈
557,学动画要学好多软件
558,猛女
559,z b
560,路飞直呼内行
561,美女！！！！！
562,哈哈哈哈哈哈哈戳中我笑点
563,嗨！美女！
564,哈哈哈哈哈哈哈
565,好棒！！！！！
566,简称
567,up您是自己个儿配的音吧
568,牛逼
569,副     乳
570,好强啊
571,哈哈哈哈
572,哈哈哈哈哈哈哈哈哈哈哈哈
573,关键帧。
574, 《人类早期驯服头发》
575,up辛苦了！！！！好厉害
576,ohhhhhhhhhhhhhh
577,chhhhhhhhhhhhhhh
578,太棒了！
579,真 建模
580,太厉害了！！！！！！！！
581,给跪了给跪了！！准备！
582,我透！这也太美了吧！
583,可以的!
584,学室内设计的表示室内渲染已经让我很崩溃，搞动画的人真的牛
585,辛苦了
586,哈哈哈哈哈
587,大型孕吐现场
588,我的天
589,真棒
590,棒棒棒
591,好看好看
592,辛苦啦
593,ohhhhhhhhhhhhh
594,好漂亮啊！
595,啊！是万恶的阿诺德
596,《很快》
597,辛苦了，这玩意儿太牛壁了
598,美女姐姐！
599,太厉害啦
600,太厉害了吧
601,666啊
602,阴间擅长
603,欲oh又止
604,牛哇
605,！！！！！！！！！！！！！！
606,好棒啊！！！
607,于是返回来开0.5倍速再来一次。
608,太强了
609,辛苦了
610,对对对。枯了
611,动画专业的我被这个软件征收了不少头发
612,致敬！
613,牛皮
614,哈哈哈哈哈哈哈哈哈哈哈哈
615,《我不是很擅长》
616,《我不是很擅长》
617,哈哈哈哈哈哈哈哈哈哈！快！快扶我起来！我还能笑！哈哈哈哈哈哈
618,还好我是二维的
619,8:10
620,哈哈哈哈哈哈哈哈
621,哈哈哈哈哈哈笑死我了
622,牛逼
623,ohhhhhhhhhhhhhhhhhhhhhhhhhh
624,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
625,ohhhhhhhhhhhhhhhhhh
626,好家伙，我直接当场好家伙！
627,身为一个医学生，真是异曲同工啊
628,好棒啊！！！！
629,是我不配了
630,可怕
631,辛苦了
632,辛苦了！！！
633,牛
634,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
635,超好看的，！！！
636,Ohhhhhhhhhhh
637,好厉害！
638,哈哈哈哈哈哈哈哈哈哈或或或或
639,哈哈哈哈哈哈哈哈哈哈或或或或或
640,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
641,哈哈哈哈哈哈哈哈哈哈或或或或或或
642,好麻烦
643,好好看
644,好棒！！！
645,完 善 亿 下
646,这货头发是有了  阿婆头发没了
647,好棒 ！
648,姐姐好棒！！
649,啊啊啊啊啊
650,up好棒
651,辛苦了
652,不擅长
653,好好看啊啊啊啊啊啊啊啊姐姐牛壁
654,好可爱
655,电脑爆破器
656,超酷啊啊啊啊啊
657,好酷
658,ohhhhhhhhhhhhhhhhhhh
659,我想学！
660,真的好麻烦啊
661,魔法！！！！！
662,厉害啊
663,哈哈哈哈哈
664,好看，舔了
665,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
666,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
667,ohhhhhhhhhh
668,bgm.not angry
669,看起来蛮难的
670,adv呀
671,好棒
672,ohhhhhhhhhh
673,好看！
674,npnpnp
675,哇哇哇哇哇哇哇哇
676,！！！太美丽了
677,哈哈哈哈哈哈哈哈
678,有点吓人
679,ohhhhhhhh
680,美女姐姐！
681,看着都晕了，，，
682,哈哈哈哈哈哈哈 动画人的噩梦
683,ohhhhhh
684,ohhhhhhhhhhhhhhhhh
685,啊啊啊好看！
686,感觉好累呀要多大的耐心呀
687,可爱可爱
688,好家伙！很棒了
689,哇哦很厉害了
690,哇哦哦哦哦哦哦
691,辛苦了
692,我用max每次给模型刷权重的时候我都要吐
693,hahahanotangry
694,你三连有了
695,辛苦啦！
696,重大错误TT
697,总感觉好的建模师要学解剖了
698,好看
