,弹幕
293,555
294,君克：谁叫我
295,君克：谁叫我？
296,杂志
297,啊哈哈哈哈哈？？？？
298,好生气 开始生气了
299,好家伙
300,yyds
301,儿不猥琐动
302,二氧化锰:wdnmd
303,文科生懵
304,別念了n別念了哈哈哈哈哈哈哈哈哈哈哈哈已經開始笑了
305,magazine
306,有人能想象我一个生物专业的要学化学的绝望吗？我跟这玩意有……好吧……有，还不小
307,杂质含量不少于99.9%笑死我了
308,/back
309,Yysd
310,……
311,是千万学生们的梦魇
312,学化学的我已经开始磨刀了
313,那么问题来了，如何给杂质除杂？
314,哈哈哈
315,成都网题
316,实验课题：杂质的提纯
317,杂质，永远单身
318,高中生的梦魇
319,我还以为是什么呢
320,我还以为……噗哈哈哈
321,文科生狂笑
322,化史地原地爆炸
323,Cao
324,直接窒息
325,草
326,草
327,唉！
328,哈哈哈哈
329,草
330,草
331,据调查90%以上的人死前曾接触[杂质]…
332,草
333,草
334,草
335,草
336,哭了
337,草
338,草
339,可怕
340,什么太监配音...
341,雷丝？！
342,噩梦
343,《无数化学家的梦魇》
344,化工流程题
345,强迫症难受
346,我跳起来打你的膝盖！
347,满分作文
348,化工生陷入沉思
349,卑鄙下流
350,草
351,草
352,针不戳
353,这是普通高中英语听力部分
354,草
355,声音真尼玛难听
356,害怕
357,真实
358,哈哈哈哈哈哈哈哈哈哈哈
359,铱直呼内行
360,草
361,文科生一脸懵逼
362,草
363,离谱
364,工业流程一生噩梦
365,草
366,草草草草草草草草草
367,草
368,淦
369,草
370,百草园
371,小丑竟是我自己
372,草
373,草
374,杂质单质是吧？
375,啊
376,草
377,les？
378,师傅别念了
379,草
380,太生草了
381,草
382,哈哈哈哈哈哈哈哈
383,。
384,草
385,草
386,窒 息 了
387,化学生开始头疼了草
388,高二震怒
389,那么问题来了，如何提纯杂质
390,草
391,草
392,草
393,草
394,草
395,草
396,哈哈哈
397,草
398,䕹彘
399,草！
400,我喜欢化学
401,刚考完化学。。。
402,草
403,yyds
404,这杂质不纯，杂质里有杂质
405,我已经开始骂人了 
406,哈哈哈哈
407,草
408,我已经开始笑了
409,草
410,草
411,草
412,容器是什么材质
413,草
414,神杂质
415,的确。。
416,草！
417,怎么提纯杂质？
418,单晶硅用提拉法制备
419,草
420,物生史笑了
421,草
422,草
423,全做过！！！！
424,草
425,心肺骤停
426,确实
427,暂停做题
428,草
429,草
430,还是我的
431,没错，杂质含量99%表示杂质中还有质中质
432,草
433,心肺停止
434,草
435,草
436,草
437,看着这瓶试剂血压上来了
438,闸总，永远的神
439,大学还有呢
440,害怕，高三的除杂
441,农角
442,人百圣经
443,草
444,文科生哈哈大笑
445,初三狂喜
446,草
447,lex？
448,草
449,草
450,ohhhhh
451,君克
452,哈哈哈哈哈哈哈哈哈哈哈哈
453,草
454,妈见打
455,草
456,草
457,草
458,草
459,草
460,好家伙 杂质里还有百分之零点一杂质
461,草
462,草
463,理综噩梦
464,非铜非铁亦非钢，曾在须弥山下藏
465,草
466,草
467,大 草
468,氧化钙
469,金坷拉
470,草
471,草
472,草
473,yyds!
474,草
475,高职的一点都不怕。
476,草
477,别说了别说了
478,草
479,我踏马火气上来了
480,淦
481,杂志
482,草
483,草
484,文科生忆起恐惧
485,草
486,脑袋疼
487,文科生狂喜
488,呜呜呜呜呜呜呜
489,草
490,要是没有它还用发展吗（doge）
491,好好说话
492,草
493,。wdnmd
494,草
495,这把关麦装高手了好吧
496,君克:？？？？？
497,是题！是题！做爆哈哈哈我爱刷题哈哈
498,草
499,物生地等等我哈哈哈哈
500,草
